Topic ID: D1405_TRAIN | Citance Number: 1 | Reference Article:  Campbell.txt | Citing Article:  Gupta.txt | Citation Marker Offset:  28015-28017 | Citation Marker:  41 | Citation Offset:  27738-28021 | Citation Text:  We have also excluded the possibility that some of the common iPS cell- and iPS-BC-enriched genes are upregulated as a consequence of ectopic reactivation of lentiviral OCT4 gene in iPS-BCs, because these genes had not been reported to be the Oct4 targets in previous studies [41-43] | Reference Offset:  ['12507-12564', '13927-14280', '20370-20539'] | Reference Text:  Table 1  Categories of Genes Identified as Oct4 Correlated ... Validation of 28 of these loci by chromatin immunoprecipitation (ChIP) followed by quantitative real-time PCR (QRT-PCR) confirmed the identification of 26 Oct4 direct transcriptional targets (Figure 3; Supplemental Table S6). Notably, since the completion of our studies, these findings have been confirmed by several groups [11], [12], [25], [26], [27] ... Assessment of GO terms revealed that 38 cell-cycle related genes were positively correlated to Oct4 including Cdc25a, Gspt1, Ppp1r8, Ccnb2, Ccne1, Ccna2, Ccnb1, and Ccnf | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1405_TRAIN | Citance Number: 2 | Reference Article:  Campbell.txt | Citing Article:  Hoxha.txt | Citation Marker Offset:  12826-12828 | Citation Marker:  21 | Citation Offset:  12692-12923 | Citation Text:  Additionally, expression of OCT4 and SOX2 has been shown to affect early differentiation genes such as SOX-17 expression [11], [12], [21] and expression of SOX-17 has been shown to be critical in cardiovascular differentiation [14] | Reference Offset:  ['3942-4248', '9787-10075', '28484-28792'] | Reference Text:  Recent identification of Oct4 transcriptional targets in ESCs has revealed an unanticipated collaboration between Oct4, Sox2, and Nanog and provides a starting framework of the core transcriptional circuitry which maintains ‘ES’ through coordination of a series of feedback and feedforward loops [11], [12] ... The validity of this method for the identification of genes related to stem cell identity is assured by the presence of genes which have previously defined roles in ESCs such as Utf1, Fgf4, Nanog, and Sox2 which were correlated to Oct4 in 100%, 99%, 97% and 49% of the trials respectively ... Importantly, our experiments have revealed hitherto unappreciated roles for Oct4 for firstly, regulating chromatin structure in a state consistent with self-renewal and pluripotency, and secondly, facilitating the expression of genes that keeps the cell poised to respond to cues that lead to differentiation | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1405_TRAIN | Citance Number: 3 | Reference Article:  Campbell.txt | Citing Article:  Lin,Yang.txt | Citation Marker Offset:  20629-20650 | Citation Marker:  Campbell et al., 2007 | Citation Offset:  20437-20651 | Citation Text:  A global gene expression profiling study revealed that apoptosis-repressing genes were positively correlated to pou5f1 transcription while apoptosis-inducing genes were negatively correlated (Campbell et al., 2007) | Reference Offset:  ['23089-23443', '23854-24080'] | Reference Text:  Twenty-five apoptotic genes were positively correlated to Oct4, the majority of which, including Aatf, Api5, Aven, Bag4, Commd10, Nipa, and Opa1, function to inhibit apoptosis. In addition, Bin1, Blp1, Serpinb9, Sh3glb1, and Casp6, all apoptosis inducing genes, were found to be negatively correlated to Oct4, with Sh3glb1 and Casp6 confirmed as targets ... The high frequency at which apoptotic genes were negatively correlated to Oct4 and anti-apoptotic genes were positively correlated to Oct4 implies that ‘anti-apoptosis’ is an important theme for maintaining the stem cell state | Discourse Facet:  Hypothesis_Citation | Annotator:  D, |

Topic ID: D1405_TRAIN | Citance Number: 4 | Reference Article:  Campbell.txt | Citing Article:  Mallick.txt | Citation Marker Offset:  9068-9070 | Citation Marker:  22 | Citation Offset:  8918-9071 | Citation Text:  Alterations in Oct-4 expression promote differentiation and leads to the specification of ectodermal, endodermal or mesodermal primitive progenitors [22] | Reference Offset:  ['3483-3643', '31285-31529'] | Reference Text:  Alterations in Oct4 expression promote differentiation and leads to the specification of ectodermal [3], endodermal [4], or mesodermal [5] primitive progenitors ... Importantly, our experiments have defined how Oct4, as the master regulator of embryonic stem cell function, plays a central role in regulating key genes in pivotal pathways involved in controlling pluripotency, self-renewal and differentiation | Discourse Facet:  Hypothesis_Citation | Annotator:  D, |

Topic ID: D1405_TRAIN | Citance Number: 5 | Reference Article:  Campbell.txt | Citing Article:  Matsuo.txt | Citation Marker Offset:  12815-12817 | Citation Marker:  31 | Citation Offset:  12681-12877 | Citation Text:  OCT4, a transcript of POU5F1, plays a role in maintaining stem cell pluripotency, self-renewal and chromatin structure in stem cells [31], and promotes tumor growth in a dose-dependent manner [32] | Reference Offset:  ['15387-15463', '28484-28792'] | Reference Text:  Thirty five genes implicated in chromatin remodeling were correlated to Oct4 ... Importantly, our experiments have revealed hitherto unappreciated roles for Oct4 for firstly, regulating chromatin structure in a state consistent with self-renewal and pluripotency, and secondly, facilitating the expression of genes that keeps the cell poised to respond to cues that lead to differentiation | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1405_TRAIN | Citance Number: 6 | Reference Article:  Campbell.txt | Citing Article:  Pardo.txt | Citation Marker Offset:  14772-14793 | Citation Marker:  Campbell et al., 2007 | Citation Offset:  14501-14794 | Citation Text:  We investigated the patterns of expression of the Oct4-associated data set in cells at different stages of differentiation, including embryonic carcinoma, embryonic stem cells, embryoid bodies, and various differentiated cell types, on the basis of transcriptomics data (Campbell et al., 2007) | Reference Offset:  ['7655-8091', '9544-9785', '28005-28248'] | Reference Text:  A set of 45 murine samples collected as part of the Stem Cell Genomics Project and deposited in StemBase (http://www.StemBase.ca/) [18] were selected to form the basis of this analysis (Supplemental Table S1). A wide variety of samples comprising adult and embryonic stem cells and their differentiated derivatives were collected in biological triplicate and hybridized to the Affymetrix MOE430 GeneChip Set for a total of 270 GeneChips ... As a result of this analysis 1299 probesets (1155 unique transcripts) were found to be correlated to Oct4. Seventy-five probesets (69 transcripts) were negatively correlated, while 1224 probesets (1086 transcripts) were positively correlated ... Through the use of gene expression data compiled from a vast collection of adult and embryonic stem cells and their differentiated derivatives we have performed a robust statistical analytic method to identify genes that are correlated to Oct4 | Discourse Facet:  Discussion_Citation | Annotator:  D, |
