Topic ID: D1405_TRAIN | Citance Number: 1 | Reference Article:  Campbell.txt | Citing Article:  Gupta.txt | Citation Marker Offset:  28015-28017 | Citation Marker:  41 | Citation Offset:  27738-28021 | Citation Text:  We have also excluded the possibility that some of the common iPS cell- and iPS-BC-enriched genes are upregulated as a consequence of ectopic reactivation of lentiviral OCT4 gene in iPS-BCs, because these genes had not been reported to be the Oct4 targets in previous studies [41-43] | Reference Offset:  ['11767-12426'] | Reference Text:  This analysis revealed that the categories transcriptional regulation, intracellular signaling, mRNA splicing, cell cycle, DNA repair, and chromatin were highly represented within the positively Oct4 correlated genes. Categories highly represented within the negatively correlated genes included transcriptional regulation, protein modification, transport, intracellular signaling, and apoptosis. A summary of these findings is provided in Figure 2 with representative genes in highly enriched categories provided in Table 1. Of note, these findings are highly consistent with a previously published GO analysis performed following Oct4 knockdown in hESC [25] | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1405_TRAIN | Citance Number: 2 | Reference Article:  Campbell.txt | Citing Article:  Hoxha.txt | Citation Marker Offset:  12826-12828 | Citation Marker:  21 | Citation Offset:  12692-12923 | Citation Text:  Additionally, expression of OCT4 and SOX2 has been shown to affect early differentiation genes such as SOX-17 expression [11], [12], [21] and expression of SOX-17 has been shown to be critical in cardiovascular differentiation [14] | Reference Offset:  ['26287-26991'] | Reference Text:  Based upon the high degree of correlation of Oct4 to constituents of NBs, it is conceivable that Oct4 target binding may function to modulate the accessibility of local chromatin to these structures and thereby enforce the transcriptional potential of specific genetic loci in early development. The identification of Hoxb1 as a negatively regulated Oct4 target is consistent with this hypothesis in light of the recent finding that in ESCs Hoxb1, although not expressed, is poised at the surface of its chromosome territory. In the initial stages of differentiation Hoxb1 is transcriptionally activated which results in chromatin decondensation and reorientation of this locus to the nuclear centre [57] | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1405_TRAIN | Citance Number: 3 | Reference Article:  Campbell.txt | Citing Article:  Lin,Yang.txt | Citation Marker Offset:  20629-20650 | Citation Marker:  Campbell et al., 2007 | Citation Offset:  20437-20651 | Citation Text:  A global gene expression profiling study revealed that apoptosis-repressing genes were positively correlated to pou5f1 transcription while apoptosis-inducing genes were negatively correlated (Campbell et al., 2007) | Reference Offset:  ['23090-23443'] | Reference Text:  Twenty-five apoptotic genes were positively correlated to Oct4, the majority of which, including Aatf, Api5, Aven, Bag4, Commd10, Nipa, and Opa1, function to inhibit apoptosis. In addition, Bin1, Blp1, Serpinb9, Sh3glb1, and Casp6, all apoptosis inducing genes, were found to be negatively correlated to Oct4, with Sh3glb1 and Casp6 confirmed as targets | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1405_TRAIN | Citance Number: 4 | Reference Article:  Campbell.txt | Citing Article:  Mallick.txt | Citation Marker Offset:  9068-9070 | Citation Marker:  22 | Citation Offset:  8918-9071 | Citation Text:  Alterations in Oct-4 expression promote differentiation and leads to the specification of ectodermal, endodermal or mesodermal primitive progenitors [22] | Reference Offset:  ['3483-3643'] | Reference Text:  Alterations in Oct4 expression promote differentiation and leads to the specification of ectodermal [3], endodermal [4], or mesodermal [5] primitive progenitors | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1405_TRAIN | Citance Number: 5 | Reference Article:  Campbell.txt | Citing Article:  Matsuo.txt | Citation Marker Offset:  12815-12817 | Citation Marker:  31 | Citation Offset:  12681-12877 | Citation Text:  OCT4, a transcript of POU5F1, plays a role in maintaining stem cell pluripotency, self-renewal and chromatin structure in stem cells [31], and promotes tumor growth in a dose-dependent manner [32] | Reference Offset:  ['31285-31529'] | Reference Text:  Importantly, our experiments have defined how Oct4, as the master regulator of embryonic stem cell function, plays a central role in regulating key genes in pivotal pathways involved in controlling pluripotency, self-renewal and differentiation | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1405_TRAIN | Citance Number: 6 | Reference Article:  Campbell.txt | Citing Article:  Pardo.txt | Citation Marker Offset:  14772-14793 | Citation Marker:  Campbell et al., 2007 | Citation Offset:  14501-14794 | Citation Text:  We investigated the patterns of expression of the Oct4-associated data set in cells at different stages of differentiation, including embryonic carcinoma, embryonic stem cells, embryoid bodies, and various differentiated cell types, on the basis of transcriptomics data (Campbell et al., 2007) | Reference Offset:  ['5138-5496'] | Reference Text:  With the understanding that coexpression of genes may imply coregulation and participation in similar biological processes [17], we sought to identify genes which were correlated to Oct4 transcript expression in a wide variety of stem/progenitor populations which were analyzed by Affymetrix GeneChip technology as part of the Stem Cell Genomics Project [18] | Discourse Facet:  Hypothesis_Citation | Annotator:  G, |
