Topic ID: D1406_TRAIN | Citance Number: 1 | Reference Article:  Hanahan.txt | Citing Article:  Coussens.txt | Citation Marker Offset:  34854-34856 | Citation Marker:  17 | Citation Offset:  34627-34857 | Citation Text:  Thus a new perspective has emerged, that tumors are complex multicellular enterprises, wherein ostensibly normal cells are conscripted by transformed cancer cells to make significant contributions to the tumor phenotype (6 and 17) | Reference Offset:  ['13389-14076', '14828-15928', '59336-59677'] | Reference Text:  It is, however, increasingly apparent that the growth deregulation within a tumor can only be explained once we understand the contributions of the ancillary cells present in a tumor—the apparently normal bystanders such as fibroblasts and endothelial cells—which must play key roles in driving tumor cell proliferation (Figure 3, right panel). Within normal tissue, cells are largely instructed to grow by their neighbors (paracrine signals) or via systemic (endocrine) signals. Cell-to-cell growth signaling is likely to operate in the vast majority of human tumors as well; virtually all are composed of several distinct cell types that appear to communicate via heterotypic signaling ... Heterotypic signaling between the diverse cell types within a tumor may ultimately prove to be as important in explaining tumor cell proliferation as the cancer cell-autonomous mechanisms enumerated above. For example, we suspect that many of the growth signals driving the proliferation of carcinoma cells originate from the stromal cell components of the tumor mass. While difficult to validate at present, such thinking recasts the logic of acquired GS autonomy: successful tumor cells are those that have acquired the ability to co-opt their normal neighbors by inducing them to release abundant fluxes of growth-stimulating signals (Skobe and Fusenig 1998). Indeed, in some tumors, these cooperating cells may eventually depart from normalcy, coevolving with their malignant neighbors in order to sustain the growth of the latter (58 and 72). Further, inflammatory cells attracted to sites of neoplasia may promote (rather than eliminate) cancer cells (18, 22 and 46), another example of normal cells conscripted to enhance tumor growth potential, another means to acquire necessary capabilities ... cancer development depends upon changes in the heterotypic interactions between incipient tumor cells and their normal neighbors. Moreover, once formed, virtually all types of human tumors, including their metastatic outgrowths, continue to harbor complex mixtures of several cell types that collaborate to create malignant growth (Figure 3) | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1406_TRAIN | Citance Number: 2 | Reference Article:  Hanahan.txt | Citing Article:  Freeman.txt | Citation Marker Offset:  4820-4845 | Citation Marker:  Hanahan and Weinberg 2000 | Citation Offset:  4567-4873 | Citation Text:  As a serine/threonine protein kinase, AKT functions by phosphorylating key intermediate signaling molecules, leading to increased cell metabolism, cell growth, cell survival, and cell invasiveness—all hallmarks of cancer (for review, see Downward 1998, Hanahan and Weinberg 2000 and Hill and Hemmings 2002) | Reference Offset:  ['4958-5560'] | Reference Text:  We suggest that the vast catalog of cancer cell genotypes is a manifestation of six essential alterations in cell physiology that collectively dictate malignant growth (Figure 1): self-sufficiency in growth signals, insensitivity to growth-inhibitory (antigrowth) signals, evasion of programmed cell death (apoptosis), limitless replicative potential, sustained angiogenesis, and tissue invasion and metastasis. Each of these physiologic changes—novel capabilities acquired during tumor development—represents the successful breaching of an anticancer defense mechanism hardwired into cells and tissues | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1406_TRAIN | Citance Number: 3 | Reference Article:  Hanahan.txt | Citing Article:  Gilbert.txt | Citation Marker Offset:  4454-4480 | Citation Marker:  Hanahan and Weinberg, 2000 | Citation Offset:  4252-4481 | Citation Text:  While numerous studies have addressed the role of tumor-proximal factors in tumor growth or metastasis, relatively few have addressed the role of the tumor microenvironment in chemotherapeutic outcome (Hanahan and Weinberg, 2000) | Reference Offset:  ['49604-49854', '52784-53260', '59336-59968'] | Reference Text:  Invading and metastasizing cancer cells experience changing tissue microenvironments during their journeys, which can present novel matrix components. Accordingly, successful colonization of these new sites (both local and distant) demands adaptation ... The activation of extracellular proteases and the altered binding specificities of cadherins, CAMs, and integrins are clearly central to the acquisition of invasiveness and metastatic ability. But the regulatory circuits and molecular mechanisms that govern these shifts remain elusive and, at present, seem to differ from one tissue environment to another. The acquired capability for invasion and metastasis represents the last great frontier for exploratory cancer research ... cancer development depends upon changes in the heterotypic interactions between incipient tumor cells and their normal neighbors. Moreover, once formed, virtually all types of human tumors, including their metastatic outgrowths, continue to harbor complex mixtures of several cell types that collaborate to create malignant growth (Figure 3). This reconceptualization of cancer cell biology has begun to drive profound changes in how we study this disease experimentally. Continuing elucidation of cancer pathogenesis will depend increasingly upon heterotypic organ culture systems in vitro and evermore refined mouse models in vivo | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1406_TRAIN | Citance Number: 4 | Reference Article:  Hanahan.txt | Citing Article:  Guo,Guo.txt | Citation Marker Offset:  29222-29224 | Citation Marker:  33 | Citation Offset:  29001-29231 | Citation Text:  Previous studies have suggested a number of hallmark functions that need to be acquired for a cancer to generate, helping researchers understand the complexity in tumor progression in a way of logical, scientific manner [33], [34] | Reference Offset:  ['2207-2440', '4958-5560', '57507-57737'] | Reference Text:  Several lines of evidence indicate that tumorigenesis in humans is a multistep process and that these steps reflect genetic alterations that drive the progressive transformation of normal human cells into highly malignant derivatives ... We suggest that the vast catalog of cancer cell genotypes is a manifestation of six essential alterations in cell physiology that collectively dictate malignant growth (Figure 1): self-sufficiency in growth signals, insensitivity to growth-inhibitory (antigrowth) signals, evasion of programmed cell death (apoptosis), limitless replicative potential, sustained angiogenesis, and tissue invasion and metastasis. Each of these physiologic changes—novel capabilities acquired during tumor development—represents the successful breaching of an anticancer defense mechanism hardwired into cells and tissues ... we believe that independent of how the steps in these genetic pathways are arranged, the biological endpoints that are ultimately reached—the hallmark capabilities of cancer—will prove to be shared in common by all types of tumors | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1406_TRAIN | Citance Number: 5 | Reference Article:  Hanahan.txt | Citing Article:  Guo,Guo.txt | Citation Marker Offset:  29800-29802 | Citation Marker:  33 | Citation Offset:  29671-29803 | Citation Text:  the mutation of TP53 can result in the removal of a key component of the DNA damage sensor, which functions to induce apoptosis [33] | Reference Offset:  ['28836-29299'] | Reference Text:  Resistance to apoptosis can be acquired by cancer cells through a variety of strategies. Surely, the most commonly occurring loss of a proapoptotic regulator through mutation involves the p53 tumor suppressor gene. The resulting functional inactivation of its product, the p53 protein, is seen in greater than 50% of human cancers and results in the removal of a key component of the DNA damage sensor that can induce the apoptotic effector cascade ( Harris 1996) | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1406_TRAIN | Citance Number: 6 | Reference Article:  Hanahan.txt | Citing Article:  Guo,Guo.txt | Citation Marker Offset:  30002-30004 | Citation Marker:  33 | Citation Offset:  29900-30005 | Citation Text:  the mutations in KRAS and PIK3CA can activate pathways that transmit anti-apoptotic survival signals [33] | Reference Offset:  ['29552-29716'] | Reference Text:  the PI3 kinase–AKT/PKB pathway, which transmits antiapoptotic survival signals, is likely involved in mitigating apoptosis in a substantial fraction of human tumors | Discourse Facet:  Discussion_Citation | Annotator:  B, |
