Topic ID: D1406_TRAIN | Citance Number: 1 | Reference Article:  Hanahan.txt | Citing Article:  Coussens.txt | Citation Marker Offset:  34854-34856 | Citation Marker:  17 | Citation Offset:  34627-34857 | Citation Text:  Thus a new perspective has emerged, that tumors are complex multicellular enterprises, wherein ostensibly normal cells are conscripted by transformed cancer cells to make significant contributions to the tumor phenotype (6 and 17) | Reference Offset:  ['2207-2440', '3677-4023', '15197-15928'] | Reference Text:  Several lines of evidence indicate that tumorigenesis in humans is a multistep process and that these steps reflect genetic alterations that drive the progressive transformation of normal human cells into highly malignant derivatives ... Taken together, observations of human cancers and animal models argue that tumor development proceeds via a process formally analogous to Darwinian evolution, in which a succession of genetic changes, each conferring one or another type of growth advantage, leads to the progressive conversion of normal human cells into cancer cells ( 33 and 71) ... While difficult to validate at present, such thinking recasts the logic of acquired GS autonomy: successful tumor cells are those that have acquired the ability to co-opt their normal neighbors by inducing them to release abundant fluxes of growth-stimulating signals (Skobe and Fusenig 1998). Indeed, in some tumors, these cooperating cells may eventually depart from normalcy, coevolving with their malignant neighbors in order to sustain the growth of the latter (58 and 72). Further, inflammatory cells attracted to sites of neoplasia may promote (rather than eliminate) cancer cells (18, 22 and 46), another example of normal cells conscripted to enhance tumor growth potential, another means to acquire necessary capabilities | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1406_TRAIN | Citance Number: 2 | Reference Article:  Hanahan.txt | Citing Article:  Freeman.txt | Citation Marker Offset:  4820-4845 | Citation Marker:  Hanahan and Weinberg 2000 | Citation Offset:  4567-4873 | Citation Text:  As a serine/threonine protein kinase, AKT functions by phosphorylating key intermediate signaling molecules, leading to increased cell metabolism, cell growth, cell survival, and cell invasiveness—all hallmarks of cancer (for review, see Downward 1998, Hanahan and Weinberg 2000 and Hill and Hemmings 2002) | Reference Offset:  ['4958-5368', '29538-30048'] | Reference Text:  We suggest that the vast catalog of cancer cell genotypes is a manifestation of six essential alterations in cell physiology that collectively dictate malignant growth (Figure 1): self-sufficiency in growth signals, insensitivity to growth-inhibitory (antigrowth) signals, evasion of programmed cell death (apoptosis), limitless replicative potential, sustained angiogenesis, and tissue invasion and metastasis ... Additionally, the PI3 kinase–AKT/PKB pathway, which transmits antiapoptotic survival signals, is likely involved in mitigating apoptosis in a substantial fraction of human tumors. This survival signaling circuit can be activated by extracellular factors such as IGF-1/2 or IL-3 ( Evan and Littlewood 1998), by intracellular signals emanating from Ras ( Downward 1998), or by loss of the pTEN tumor suppressor, a phospholipid phosphatase that normally attenuates the AKT survival signal ( Cantley and Neel 1999) | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1406_TRAIN | Citance Number: 3 | Reference Article:  Hanahan.txt | Citing Article:  Gilbert.txt | Citation Marker Offset:  4454-4480 | Citation Marker:  Hanahan and Weinberg, 2000 | Citation Offset:  4252-4481 | Citation Text:  While numerous studies have addressed the role of tumor-proximal factors in tumor growth or metastasis, relatively few have addressed the role of the tumor microenvironment in chemotherapeutic outcome (Hanahan and Weinberg, 2000) | Reference Offset:  ['30433-31192', '53262-53712', '59679-60317'] | Reference Text:  It is now possible to lay out a provisional apoptotic signaling circuitry (Figure 2); while incomplete, it is evident that most regulatory and effector components are present in redundant form. This redundancy holds important implications for the development of novel types of antitumor therapy, since tumor cells that have lost proapoptotic components are likely to retain other similar ones. We anticipate that new technologies will be able to display the apoptotic pathways still operative in specific types of cancer cells and that new drugs will enable cross-talk between the still intact components of parallel apoptotic signaling pathways in tumor cells, resulting in restoration of the apoptotic defense mechanism, with substantial therapeutic benefit ... We envision that evolving analytic techniques will soon make it possible to construct comprehensive profiles of the expression and functional activities of proteases, integrins, and CAMs in a wide variety of cancer types, both before and after they acquire invasive and metastatic abilities. The challenge will then be to apply the new molecular insights about tissue invasiveness and metastasis to the development of effective therapeutic strategies ... This reconceptualization of cancer cell biology has begun to drive profound changes in how we study this disease experimentally. Continuing elucidation of cancer pathogenesis will depend increasingly upon heterotypic organ culture systems in vitro and evermore refined mouse models in vivo. Looking ahead into the future, these systems will help us chart comprehensive maps of growth signaling networks in cancer, an endeavor that will depend on defining all of the signals exchanged between the various cell types existing symbiotically within a tumor mass and knowing their effects on the integrated circuits of each of those cell types | Discourse Facet:  Implication_Citation | Annotator:  C, |

Topic ID: D1406_TRAIN | Citance Number: 4 | Reference Article:  Hanahan.txt | Citing Article:  Guo,Guo.txt | Citation Marker Offset:  29222-29224 | Citation Marker:  33 | Citation Offset:  29001-29231 | Citation Text:  Previous studies have suggested a number of hallmark functions that need to be acquired for a cancer to generate, helping researchers understand the complexity in tumor progression in a way of logical, scientific manner [33], [34] | Reference Offset:  ['1369-1588', '4958-5368', '56152-56432'] | Reference Text:  We foresee cancer research developing into a logical science, where the complexities of the disease, described in the laboratory and clinic, will become understandable in terms of a small number of underlying principles ... We suggest that the vast catalog of cancer cell genotypes is a manifestation of six essential alterations in cell physiology that collectively dictate malignant growth (Figure 1): self-sufficiency in growth signals, insensitivity to growth-inhibitory (antigrowth) signals, evasion of programmed cell death (apoptosis), limitless replicative potential, sustained angiogenesis, and tissue invasion and metastasis ... We place this acquired characteristic of genomic instability apart from the six acquired capabilities associated with tumor cell phenotype and tumor physiology: it represents the means that enables evolving populations of premalignant cells to reach these six biological endpoints | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1406_TRAIN | Citance Number: 5 | Reference Article:  Hanahan.txt | Citing Article:  Guo,Guo.txt | Citation Marker Offset:  29800-29802 | Citation Marker:  33 | Citation Offset:  29657-29809 | Citation Text:  Specifically, the mutation of TP53 can result in the removal of a key component of the DNA damage sensor, which functions to induce apoptosis [33], [34] | Reference Offset:  ['25072-25267', '28836-29299', '55050-55413'] | Reference Text:  The p53 tumor suppressor protein can elicit apoptosis by upregulating expression of proapoptotic Bax in response to sensing DNA damage; Bax in turn stimulates mitochondria to release cytochrome C ... Resistance to apoptosis can be acquired by cancer cells through a variety of strategies. Surely, the most commonly occurring loss of a proapoptotic regulator through mutation involves the p53 tumor suppressor gene. The resulting functional inactivation of its product, the p53 protein, is seen in greater than 50% of human cancers and results in the removal of a key component of the DNA damage sensor that can induce the apoptotic effector cascade ( Harris 1996) ... The most prominent member of these systems is the p53 tumor suppressor protein, which, in response to DNA damage, elicits either cell cycle arrest to allow DNA repair to take place or apoptosis if the damage is excessive. Indeed, it is now clear that the functioning of the p53 DNA damage signaling pathway is lost in most, if not all, human cancers (Levine 1997) | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1406_TRAIN | Citance Number: 6 | Reference Article:  Hanahan.txt | Citing Article:  Guo,Guo.txt | Citation Marker Offset:  30002-30004 | Citation Marker:  33 | Citation Offset:  29811-30099 | Citation Text:  mutant forms of the APC protein can attenuate responses to apoptotic stimuli [35], [36], the mutations in KRAS and PIK3CA can activate pathways that transmit anti-apoptotic survival signals [33], and the proteins encoded by NPM1 and CIC have been shown to function in apoptosis [37], [38] | Reference Offset:  ['10567-10847', '11800-12335', '29538-30048'] | Reference Text:  The most complex mechanisms of acquired GS autonomy derive from alterations in components of the downstream cytoplasmic circuitry that receives and processes the signals emitted by ligand-activated GF receptors and integrins. The SOS-Ras-Raf-MAPK cascade plays a central role here ... New downstream effector pathways that radiate from the central SOS-Ras-Raf-MAP kinase mitogenic cascade are being discovered with some regularity (48 and 77). This cascade is also linked via a variety of cross-talking connections with other pathways; these cross connections enable extracellular signals to elicit multiple cell biological effects. For example, the direct interaction of the Ras protein with the survival-promoting PI3 kinase enables growth signals to concurrently evoke survival signals within the cell (Downward 1998) ... Additionally, the PI3 kinase–AKT/PKB pathway, which transmits antiapoptotic survival signals, is likely involved in mitigating apoptosis in a substantial fraction of human tumors. This survival signaling circuit can be activated by extracellular factors such as IGF-1/2 or IL-3 ( Evan and Littlewood 1998), by intracellular signals emanating from Ras ( Downward 1998), or by loss of the pTEN tumor suppressor, a phospholipid phosphatase that normally attenuates the AKT survival signal ( Cantley and Neel 1999) | Discourse Facet:  Discussion_Citation | Annotator:  C, |
