Topic ID: D1406_TRAIN | Citance Number: 1 | Reference Article:  Hanahan.txt | Citing Article:  Coussens.txt | Citation Marker Offset:  34854-34856 | Citation Marker:  17 | Citation Offset:  34627-34857 | Citation Text:  Thus a new perspective has emerged, that tumors are complex multicellular enterprises, wherein ostensibly normal cells are conscripted by transformed cancer cells to make significant contributions to the tumor phenotype (6 and 17) | Reference Offset:  ['13869-14076', '14828-15195', '15676-15928'] | Reference Text:  Cell-to-cell growth signaling is likely to operate in the vast majority of human tumors as well; virtually all are composed of several distinct cell types that appear to communicate via heterotypic signaling ... Heterotypic signaling between the diverse cell types within a tumor may ultimately prove to be as important in explaining tumor cell proliferation as the cancer cell-autonomous mechanisms enumerated above. For example, we suspect that many of the growth signals driving the proliferation of carcinoma cells originate from the stromal cell components of the tumor mass ... Further, inflammatory cells attracted to sites of neoplasia may promote (rather than eliminate) cancer cells (18, 22 and 46), another example of normal cells conscripted to enhance tumor growth potential, another means to acquire necessary capabilities | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1406_TRAIN | Citance Number: 2 | Reference Article:  Hanahan.txt | Citing Article:  Freeman.txt | Citation Marker Offset:  4820-4845 | Citation Marker:  Hanahan and Weinberg 2000 | Citation Offset:  4567-4873 | Citation Text:  As a serine/threonine protein kinase, AKT functions by phosphorylating key intermediate signaling molecules, leading to increased cell metabolism, cell growth, cell survival, and cell invasiveness—all hallmarks of cancer (for review, see Downward 1998, Hanahan and Weinberg 2000 and Hill and Hemmings 2002) | Reference Offset:  ['4958-5368'] | Reference Text:  We suggest that the vast catalog of cancer cell genotypes is a manifestation of six essential alterations in cell physiology that collectively dictate malignant growth (Figure 1): self-sufficiency in growth signals, insensitivity to growth-inhibitory (antigrowth) signals, evasion of programmed cell death (apoptosis), limitless replicative potential, sustained angiogenesis, and tissue invasion and metastasis | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1406_TRAIN | Citance Number: 3 | Reference Article:  Hanahan.txt | Citing Article:  Gilbert.txt | Citation Marker Offset:  4454-4480 | Citation Marker:  Hanahan and Weinberg, 2000 | Citation Offset:  4252-4481 | Citation Text:  While numerous studies have addressed the role of tumor-proximal factors in tumor growth or metastasis, relatively few have addressed the role of the tumor microenvironment in chemotherapeutic outcome (Hanahan and Weinberg, 2000) | Reference Offset:  ['46717-47174', '49522-49753', '59466-59677'] | Reference Text:  Invasion and metastasis are exceedingly complex processes, and their genetic and biochemical determinants remain incompletely understood. At the mechanistic level, they are closely allied processes, which justifies their association with one another as one general capability of cancer cells. Both utilize similar operational strategies, involving changes in the physical coupling of cells to their microenvironment and activation of extracellular proteases ... Changes in integrin expression are also evident in invasive and metastatic cells. Invading and metastasizing cancer cells experience changing tissue microenvironments during their journeys, which can present novel matrix components ... Moreover, once formed, virtually all types of human tumors, including their metastatic outgrowths, continue to harbor complex mixtures of several cell types that collaborate to create malignant growth (Figure 3) | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1406_TRAIN | Citance Number: 4 | Reference Article:  Hanahan.txt | Citing Article:  Guo,Guo.txt | Citation Marker Offset:  29222-29224 | Citation Marker:  33 | Citation Offset:  29001-29231 | Citation Text:  Previous studies have suggested a number of hallmark functions that need to be acquired for a cancer to generate, helping researchers understand the complexity in tumor progression in a way of logical, scientific manner [33], [34] | Reference Offset:  ['2207-2440', '4958-5368', '57494-57737'] | Reference Text:  Several lines of evidence indicate that tumorigenesis in humans is a multistep process and that these steps reflect genetic alterations that drive the progressive transformation of normal human cells into highly malignant derivatives ... We suggest that the vast catalog of cancer cell genotypes is a manifestation of six essential alterations in cell physiology that collectively dictate malignant growth (Figure 1): self-sufficiency in growth signals, insensitivity to growth-inhibitory (antigrowth) signals, evasion of programmed cell death (apoptosis), limitless replicative potential, sustained angiogenesis, and tissue invasion and metastasis ... Nonetheless, we believe that independent of how the steps in these genetic pathways are arranged, the biological endpoints that are ultimately reached—the hallmark capabilities of cancer—will prove to be shared in common by all types of tumors | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1406_TRAIN | Citance Number: 5 | Reference Article:  Hanahan.txt | Citing Article:  Guo,Guo.txt | Citation Marker Offset:  29800-29802 | Citation Marker:  33 | Citation Offset:  29657-29809 | Citation Text:  Specifically, the mutation of TP53 can result in the removal of a key component of the DNA damage sensor, which functions to induce apoptosis [33], [34] | Reference Offset:  ['27645-28035', '28836-29049'] | Reference Text:  Thus, in transgenic mice where the pRb tumor suppressor was functionally inactivated in the choroid plexus, slowly growing microscopic tumors arose, exhibiting high apoptotic rates; the additional inactivation of the p53 tumor suppressor protein, a component of the apoptotic signaling circuitry, led to rapidly growing tumors containing low numbers of apoptotic cells (Symonds et al. 1994) ... Resistance to apoptosis can be acquired by cancer cells through a variety of strategies. Surely, the most commonly occurring loss of a proapoptotic regulator through mutation involves the p53 tumor suppressor gene | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1406_TRAIN | Citance Number: 6 | Reference Article:  Hanahan.txt | Citing Article:  Guo,Guo.txt | Citation Marker Offset:  30002-30004 | Citation Marker:  33 | Citation Offset:  29811-30099 | Citation Text:  mutant forms of the APC protein can attenuate responses to apoptotic stimuli [35], [36], the mutations in KRAS and PIK3CA can activate pathways that transmit anti-apoptotic survival signals [33], and the proteins encoded by NPM1 and CIC have been shown to function in apoptosis [37], [38] | Reference Offset:  ['29538-29716'] | Reference Text:  Additionally, the PI3 kinase–AKT/PKB pathway, which transmits antiapoptotic survival signals, is likely involved in mitigating apoptosis in a substantial fraction of human tumors | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1406_TRAIN | Citance Number: 7 | Reference Article:  Hanahan.txt | Citing Article:  Hoffman.txt | Citation Marker Offset:  2253-2279 | Citation Marker:  Hanahan and Weinberg, 2000 | Citation Offset:  2180-2280 | Citation Text:  Tumorigenesis is a multistage process that involves multiple cell types (Hanahan and Weinberg, 2000) | Reference Offset:  ['2207-2440', '13389-13732', '59466-59677'] | Reference Text:  Several lines of evidence indicate that tumorigenesis in humans is a multistep process and that these steps reflect genetic alterations that drive the progressive transformation of normal human cells into highly malignant derivatives ... It is, however, increasingly apparent that the growth deregulation within a tumor can only be explained once we understand the contributions of the ancillary cells present in a tumor—the apparently normal bystanders such as fibroblasts and endothelial cells—which must play key roles in driving tumor cell proliferation (Figure 3, right panel) ... Moreover, once formed, virtually all types of human tumors, including their metastatic outgrowths, continue to harbor complex mixtures of several cell types that collaborate to create malignant growth (Figure 3) | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1406_TRAIN | Citance Number: 8 | Reference Article:  Hanahan.txt | Citing Article:  Lin.txt | Citation Marker Offset:  4280-4306 | Citation Marker:  Hanahan and Weinberg, 2000 | Citation Offset:  3990-4307 | Citation Text:  A high percentage of tumor cells that take on immortalized characteristics show telomerase activity Kim et al. 1994, Greider and Blackburn 1996, Shay and Bacchetti 1997 and Cong et al. 2002, and it has been suggested that hTERT expression may be one of the six key events common to cancer (Hanahan and Weinberg, 2000) | Reference Offset:  ['4055-4224', '4958-5368', '35380-35871'] | Reference Text:  The barriers to development of cancer are embodied in a teleology: cancer cells have defects in regulatory circuits that govern normal cell proliferation and homeostasis ... We suggest that the vast catalog of cancer cell genotypes is a manifestation of six essential alterations in cell physiology that collectively dictate malignant growth (Figure 1): self-sufficiency in growth signals, insensitivity to growth-inhibitory (antigrowth) signals, evasion of programmed cell death (apoptosis), limitless replicative potential, sustained angiogenesis, and tissue invasion and metastasis ... Telomere maintenance is evident in virtually all types of malignant cells (Shay and Bacchetti 1997); 85%–90% of them succeed in doing so by upregulating expression of the telomerase enzyme, which adds hexanucleotide repeats onto the ends of telomeric DNA (Bryan and Cech 1999), while the remainder have invented a way of activating a mechanism, termed ALT, which appears to maintain telomeres through recombination-based interchromosomal exchanges of sequence information (Bryan et al. 1995) | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1406_TRAIN | Citance Number: 9 | Reference Article:  Hanahan.txt | Citing Article:  Tamburini.txt | Citation Marker Offset:  39797-39799 | Citation Marker:  63 | Citation Offset:  39590-39800 | Citation Text:  As may be true for hypoxia response genes, upregulation of proinflammatory genes in hemangiosarcoma also could result from selective pressures to create a favorable microenvironment for growth and survival [63] | Reference Offset:  ['15676-15928'] | Reference Text:  Further, inflammatory cells attracted to sites of neoplasia may promote (rather than eliminate) cancer cells (18, 22 and 46), another example of normal cells conscripted to enhance tumor growth potential, another means to acquire necessary capabilities | Discourse Facet:  Discussion_Citation | Annotator:  D, |

