Topic ID: D1406_TRAIN | Citance Number: 1 | Reference Article:  Hanahan.txt | Citing Article:  Coussens.txt | Citation Marker Offset:  34854-34856 | Citation Marker:  17 | Citation Offset:  34627-34857 | Citation Text:  Thus a new perspective has emerged, that tumors are complex multicellular enterprises, wherein ostensibly normal cells are conscripted by transformed cancer cells to make significant contributions to the tumor phenotype (6 and 17) | Reference Offset:  ['14334-14599'] | Reference Text:  Looking forward in time, we believe that important new inroads will come from regarding tumors as complex tissues in which mutant cancer cells have conscripted and subverted normal cell types to serve as active collaborators in their neoplastic agenda (right panel) | Discourse Facet:  Hypothesis_Citation | Annotator:  G, |

Topic ID: D1406_TRAIN | Citance Number: 2 | Reference Article:  Hanahan.txt | Citing Article:  Freeman.txt | Citation Marker Offset:  4820-4845 | Citation Marker:  Hanahan and Weinberg 2000 | Citation Offset:  4567-4873 | Citation Text:  As a serine/threonine protein kinase, AKT functions by phosphorylating key intermediate signaling molecules, leading to increased cell metabolism, cell growth, cell survival, and cell invasiveness—all hallmarks of cancer (for review, see Downward 1998, Hanahan and Weinberg 2000 and Hill and Hemmings 2002) | Reference Offset:  ['13869-14076', '29538-29716', '52784-52975'] | Reference Text:  Cell-to-cell growth signaling is likely to operate in the vast majority of human tumors as well; virtually all are composed of several distinct cell types that appear to communicate via heterotypic signaling ... Additionally, the PI3 kinase–AKT/PKB pathway, which transmits antiapoptotic survival signals, is likely involved in mitigating apoptosis in a substantial fraction of human tumors ... The activation of extracellular proteases and the altered binding specificities of cadherins, CAMs, and integrins are clearly central to the acquisition of invasiveness and metastatic ability | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1406_TRAIN | Citance Number: 3 | Reference Article:  Hanahan.txt | Citing Article:  Gilbert.txt | Citation Marker Offset:  4454-4480 | Citation Marker:  Hanahan and Weinberg, 2000 | Citation Offset:  4252-4481 | Citation Text:  While numerous studies have addressed the role of tumor-proximal factors in tumor growth or metastasis, relatively few have addressed the role of the tumor microenvironment in chemotherapeutic outcome (Hanahan and Weinberg, 2000) | Reference Offset:  ['7189-7357'] | Reference Text:  The conclusion is that tumor cells generate many of their own growth signals, thereby reducing their dependence on stimulation from their normal tissue microenvironment | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1406_TRAIN | Citance Number: 4 | Reference Article:  Hanahan.txt | Citing Article:  Guo,Guo.txt | Citation Marker Offset:  29222-29224 | Citation Marker:  33 | Citation Offset:  29001-29231 | Citation Text:  Previous studies have suggested a number of hallmark functions that need to be acquired for a cancer to generate, helping researchers understand the complexity in tumor progression in a way of logical, scientific manner [33], [34] | Reference Offset:  ['22382-22645', '46459-46604', '57494-57737'] | Reference Text:  The evidence is mounting, principally from studies in mouse models and cultured cells, as well as from descriptive analyses of biopsied stages in human carcinogenesis, that acquired resistance toward apoptosis is a hallmark of most and perhaps all types of cancer ... Like the formation of the primary tumor mass, successful invasion and metastasis depend upon all of the other five acquired hallmark capabilities ... Nonetheless, we believe that independent of how the steps in these genetic pathways are arranged, the biological endpoints that are ultimately reached—the hallmark capabilities of cancer—will prove to be shared in common by all types of tumors | Discourse Facet:  Hypothesis_Citation | Annotator:  G, |

Topic ID: D1406_TRAIN | Citance Number: 5 | Reference Article:  Hanahan.txt | Citing Article:  Guo,Guo.txt | Citation Marker Offset:  29800-29802 | Citation Marker:  33 | Citation Offset:  29657-29803 | Citation Text:  Specifically, the mutation of TP53 can result in the removal of a key component of the DNA damage sensor, which functions to induce apoptosis [33] | Reference Offset:  ['29051-29299'] | Reference Text:  The resulting functional inactivation of its product, the p53 protein, is seen in greater than 50% of human cancers and results in the removal of a key component of the DNA damage sensor that can induce the apoptotic effector cascade ( Harris 1996) | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1406_TRAIN | Citance Number: 6 | Reference Article:  Hanahan.txt | Citing Article:  Guo,Guo.txt | Citation Marker Offset:  30002-30004 | Citation Marker:  33 | Citation Offset:  29900-30005 | Citation Text:  the mutations in KRAS and PIK3CA can activate pathways that transmit anti-apoptotic survival signals [33] | Reference Offset:  ['12148-12335'] | Reference Text:  For example, the direct interaction of the Ras protein with the survival-promoting PI3 kinase enables growth signals to concurrently evoke survival signals within the cell (Downward 1998) | Discourse Facet:  Discussion_Citation | Annotator:  G, |

