Topic ID: D1407_TRAIN | Citance Number: 1 | Reference Article:  Toji.txt | Citing Article:  Abe.txt | Citation Marker Offset:  2251-2252 | Citation Marker:  8 | Citation Offset:  2131-2253 | Citation Text:  With respect to LATS2, it has been reported that LATS2 induces G2/M arrest and subsequent apoptotic cell death [7] and [8] | Reference Offset:  ['7291-7557', '7963-8671'] | Reference Text:  Enhanced expression of LATS1 in human tumour cell lines caused cell cycle arrest at G2/M through inhibition of Cdc2 kinase activity or induced apoptosis by up-regulating the level of pro-apoptotic proteins such as Bax or Caspase-3 (Yang et al. 2001; Xia et al. 2002) ... Over-expression of human Lats2/Kpm in HeLa cells has also shown to cause G2/M arrest through inhibition of Cdc2 kinase activity and to induce apoptosis (Hori et al. 2000; Kamikubo et al. 2003), whereas over-expression of mouse Lats2 in v-ras-transformed NIH3T3 cells has shown to inhibit G1/S transition through down-regulation of Cyclin E/Cdk2 kinase activity and to suppress tumorigenicity of NIH3T3/v-ras cells (Li et al. 2003). These observations suggest that Lats kinases act as tumour suppressors by inhibition of cell cycle progression or apoptosis. Although Lats1 was recently found to be phosphorylated by Cdc2 (Morisaki et al. 2002), the kinase that phosphorylates Lats2 has not yet been identified | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1407_TRAIN | Citance Number: 2 | Reference Article:  Toji.txt | Citing Article:  Abe.txt | Citation Marker Offset:  18401-18402 | Citation Marker:  8 | Citation Offset:  18266-18403 | Citation Text:  At the onset of mitosis, LATS2 is activated by phosphorylation and plays important roles in G2/M transition in cultured cells [7] and [8] | Reference Offset:  ['10366-10494', '10912-11303', '35285-35461'] | Reference Text:  Lats2 is indeed phosphorylated at the M phase, in which nocodazole-treated cells are arrested by the spindle assembly checkpoint ... These results indicate that Lats2 is phosphorylated not only at the M phase but also at the G1/S phase. This G1/S-phosphorylated band was also observed during interphase (Fig. 1A; 0, 1.5, 3, 10 and 12 h), indicating that Lats2 is phosphorylated during interphase. Therefore, these findings suggest that Lats2 is regulated by at least two distinct phosphorylation events during the cell cycle ... In this study, we have shown that Lats2 is phosphorylated in at least two distinct stages of the cell cycle, G1/S phase and M phase containing nocodazole arrest (Fig. 1A and B) | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1407_TRAIN | Citance Number: 3 | Reference Article:  Toji.txt | Citing Article:  Abe.txt | Citation Marker Offset:  20221-20222 | Citation Marker:  8 | Citation Offset:  19976-20223 | Citation Text:  We found no obvious effect of LATS2-depletion on the Aurora-A kinase activity when monitored by phosphorylation state of Thr288 on Aurora-A [18] (Fig. S2), suggesting that LATS2 may be a downstream of Aurora-A as mentioned in a previous report [8] | Reference Offset:  ['36157-36712', '43662-43841'] | Reference Text:  We identified a centrosomal kinase, Aurora-A, as one of the candidate kinases for phosphorylation of S83 residue on Lats2. Immunostaining data with the anti-phosphorylated S83 antibody reveals that S83 on Lats2 is phosphorylated in vivo during the cell cycle and it is more prominent during prophase and metaphase than interphase, anapahse and telophase, which is similar to the expression pattern of Aurora-A during the cell cycle (Fig. 4A and Bischoff et al. 1998). These results suggest that S83 on Lats2 is a phosphorylation target of Aurora-A in vivo ... Taken together, our data suggest that Lats2 is a novel centrosome-associated kinase that may be involved in regulating the centrosome and/or mitotic spindle downstream of Aurora-A | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1407_TRAIN | Citance Number: 4 | Reference Article:  Toji.txt | Citing Article:  Abe.txt | Citation Marker Offset:  2335-2336 | Citation Marker:  8 | Citation Offset:  2255-2337 | Citation Text:  Furthermore, transiently expressed exogenous LATS2 is localized to centrosomes [8] | Reference Offset:  ['25454-25753', '26995-27790'] | Reference Text:  HeLa S3 cells were transiently transfected with GFP-fused full-length human Lats2 or the GFP-vector alone, followed by immunofluorescence staining with anti-Aurora-A antibody (Fig. 4A). GFP-Lats2 was observed as one or two bright spots beside the nucleus in interphase (left panels, i and ii; green) ... Interestingly, when cells enter cytokinesis, GFP-Lats2 was observed again as bright spots and the spots were distributed to daughter cells and localized at each pole (Fig. 4A,v), which is suggestive of re-localization to the centrosomes of GFP-Lats2 when the cells enter cytokinesis. Moreover, GFP-Lats2 was also found at the midbody during cytokinesis (Fig. 4A,v). Together with the previous reports that Aurora-A is localized to the interphase and mitotic centrosomes as well as to the spindle poles (Bischoff et al. 1998; Zhou et al. 1998), these results indicate that Lats2 co-localizes with Aurora-A at the centrosomes during interphase, early prophase and cytokinesis. That Lats2 localizes to centrosomes during interphase was also confirmed by its co-localization with γ-tubulin (Fig. 4C) | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1407_TRAIN | Citance Number: 5 | Reference Article:  Toji.txt | Citing Article:  Akhmedov.txt | Citation Marker Offset:  4092-4093 | Citation Marker:  9 | Citation Offset:  3949-4094 | Citation Text:  Lats2/Kpm is homologous to Lats1 and undergoes cell cycle-dependent phosphorylation [8]; its residue S83 is phosphorylated by Aurora-A kinase [9] | Reference Offset:  ['17747-18373', '36157-36712'] | Reference Text:  To further map the Aurora-A phosphorylation site(s) on Lats2, we mutated serine 83 (S83), S91, threonine 93 (T93) or S94 in GST-79-118 to cysteine (S83C), cysteine (S91C), aspartic acid (T93D) or alanine (S94A), respectively. In vitro kinase assays with Aurora-A were performed with these mutated sequences. A loading control experiment with Coomassie Blue staining showed that an equal amount of each protein had been applied (Fig. 2C, right panel). Whereas phosphorylation of the S91C, T93D or S94A mutants was not significantly altered, the phosphorylation of the S83C mutant was remarkably diminished (Fig. 2C, left panel) ... We identified a centrosomal kinase, Aurora-A, as one of the candidate kinases for phosphorylation of S83 residue on Lats2. Immunostaining data with the anti-phosphorylated S83 antibody reveals that S83 on Lats2 is phosphorylated in vivo during the cell cycle and it is more prominent during prophase and metaphase than interphase, anapahse and telophase, which is similar to the expression pattern of Aurora-A during the cell cycle (Fig. 4A and Bischoff et al. 1998). These results suggest that S83 on Lats2 is a phosphorylation target of Aurora-A in vivo | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1407_TRAIN | Citance Number: 6 | Reference Article:  Toji.txt | Citing Article:  Carmena.txt | Citation Marker Offset:  8194-8196 | Citation Marker:  30 | Citation Offset:  7956-8208 | Citation Text:  Centrosomes increase both in size and in microtubule-nucleating capacity just before mitotic entry [28]. Aurora A contributes to this by recruiting pericentriolar material (PCM) proteins including Centrosomin [29], LATS2, TACC and NDEL1 [30, 31 and 32] | Reference Offset:  ['24798-24987', '27361-27790'] | Reference Text:  These results indicate that Aurora-A interacts with the N-terminus (1–393 amino acids) of Lats2 in vivo, which supports the notion that Lats2 is a phosphorylation target of Aurora-A in vivo ... Together with the previous reports that Aurora-A is localized to the interphase and mitotic centrosomes as well as to the spindle poles (Bischoff et al. 1998; Zhou et al. 1998), these results indicate that Lats2 co-localizes with Aurora-A at the centrosomes during interphase, early prophase and cytokinesis. That Lats2 localizes to centrosomes during interphase was also confirmed by its co-localization with γ-tubulin (Fig. 4C) | Discourse Facet:  Results_Citation | Annotator:  B, |
