Topic ID: D1407_TRAIN | Citance Number: 1 | Reference Article:  Toji.txt | Citing Article:  Abe.txt | Citation Marker Offset:  2251-2252 | Citation Marker:  8 | Citation Offset:  2131-2253 | Citation Text:  With respect to LATS2, it has been reported that LATS2 induces G2/M arrest and subsequent apoptotic cell death [7] and [8] | Reference Offset:  ['7963-8114'] | Reference Text:  Over-expression of human Lats2/Kpm in HeLa cells has also shown to cause G2/M arrest through inhibition of Cdc2 kinase activity and to induce apoptosis | Discourse Facet:  Results_Citation | Annotator:  F, |

Topic ID: D1407_TRAIN | Citance Number: 2 | Reference Article:  Toji.txt | Citing Article:  Abe.txt | Citation Marker Offset:  18401-18402 | Citation Marker:  8 | Citation Offset:  18266-18403 | Citation Text:  At the onset of mitosis, LATS2 is activated by phosphorylation and plays important roles in G2/M transition in cultured cells [7] and [8] | Reference Offset:  ['29303-29428'] | Reference Text:  the phosphorylation signals of S83 by the 3B11 antibody were observed at the centrosomes of interphase and prometaphase cells | Discourse Facet:  Results_Citation | Annotator:  F, |

Topic ID: D1407_TRAIN | Citance Number: 3 | Reference Article:  Toji.txt | Citing Article:  Abe.txt | Citation Marker Offset:  20221-20222 | Citation Marker:  8 | Citation Offset:  20132-20223 | Citation Text:  suggesting that LATS2 may be a downstream of Aurora-A as mentioned in a previous report [8] | Reference Offset:  ['27539-27668'] | Reference Text:  these results indicate that Lats2 co-localizes with Aurora-A at the centrosomes during interphase, early prophase and cytokinesis | Discourse Facet:  Results_Citation | Annotator:  F, |

Topic ID: D1407_TRAIN | Citance Number: 5 | Reference Article:  Toji.txt | Citing Article:  Akhmedov.txt | Citation Marker Offset:  4092-4093 | Citation Marker:  9 | Citation Offset:  4038-4094 | Citation Text:  its residue S83 is phosphorylated by Aurora-A kinase [9] | Reference Offset:  ['22945-23153'] | Reference Text:  Taken together, we conclude that Aurora-A is the phosphorylating kinase of Lats2 in the M phase because Aurora-A predominately phosphorylates S83 on Lats2 in vitro and this site is also phosphorylated in vivo | Discourse Facet:  Implication_Citation | Annotator:  F, |

Topic ID: D1407_TRAIN | Citance Number: 6 | Reference Article:  Toji.txt | Citing Article:  Carmena.txt | Citation Marker Offset:  8194-8196 | Citation Marker:  30 | Citation Offset:  8061-8196 | Citation Text:  Aurora A contributes to this by recruiting pericentriolar material (PCM) proteins including Centrosomin [29], LATS2, TACC and NDEL1 [30 | Reference Offset:  ['43662-43841'] | Reference Text:  Taken together, our data suggest that Lats2 is a novel centrosome-associated kinase that may be involved in regulating the centrosome and/or mitotic spindle downstream of Aurora-A | Discourse Facet:  Implication_Citation | Annotator:  F, |

Topic ID: D1407_TRAIN | Citance Number: 7 | Reference Article:  Toji.txt | Citing Article:  Dvash.txt | Citation Marker Offset:  20610-20612 | Citation Marker:  65 | Citation Offset:  20507-20613 | Citation Text:  Since in S. cerevisiae DBF2 was shown to be associated with anaphase and/or telophase progression (16, 65) | Reference Offset:  ['2443-2647'] | Reference Text:  The Drosophila Aurora gene, which is highly homologous to Saccharomyces cerevisiae IPL1, was identified in a search for the gene that regulates the formation of a functional centrosome and mitotic spindle | Discourse Facet:  Results_Citation | Annotator:  F, |

Topic ID: D1407_TRAIN | Citance Number: 8 | Reference Article:  Toji.txt | Citing Article:  Dvash.txt | Citation Marker Offset:  40274-40276 | Citation Marker:  65 | Citation Offset:  40162-40281 | Citation Text:  Taking into consideration the role that DBF2 homologs have been shown to play in cell cycle progression (4, 62, 65,–68) | Reference Offset:  ['2443-2647'] | Reference Text:  The Drosophila Aurora gene, which is highly homologous to Saccharomyces cerevisiae IPL1, was identified in a search for the gene that regulates the formation of a functional centrosome and mitotic spindle | Discourse Facet:  Results_Citation | Annotator:  F, |

Topic ID: D1407_TRAIN | Citance Number: 9 | Reference Article:  Toji.txt | Citing Article:  Hergovich.txt | Citation Marker Offset:  32241-32243 | Citation Marker:  97 | Citation Offset:  32122-32244 | Citation Text:  in mammals, LATS1 and LATS2 have been detected on interphase and mitotic centrosomes [45], [93], [94], [95], [96] and [97] | Reference Offset:  ['29303-29428'] | Reference Text:  the phosphorylation signals of S83 by the 3B11 antibody were observed at the centrosomes of interphase and prometaphase cells | Discourse Facet:  Results_Citation | Annotator:  F, |

Topic ID: D1407_TRAIN | Citance Number: 10 | Reference Article:  Toji.txt | Citing Article:  Lai.txt | Citation Marker Offset:  39302-39319 | Citation Marker:  Toji et al., 2004 | Citation Offset:  39148-39320 | Citation Text:  Third, human Wts2 is a phosphorylation target of Aurora-A kinase, and this phosphorylation plays a role in regulating centrosomal localization of hWts2 ( Toji et al., 2004) | Reference Offset:  ['3145-3338'] | Reference Text:  Aurora-A is prominent both at the centrosomes and in the nucleus of G2 phase cells and at the half-spindle (a zone between the kinetochore and the spindle pole) in metaphase and telophase cells | Discourse Facet:  Results_Citation | Annotator:  F, |

Topic ID: D1407_TRAIN | Citance Number: 11 | Reference Article:  Toji.txt | Citing Article:  Mahen.txt | Citation Marker Offset:  7328-7330 | Citation Marker:  22 | Citation Offset:  7162-7331 | Citation Text:  Similarly to PLK1, Aurora-A activity is required for the enrichment or localisation of multiple centrosomal factors which have roles in maturation, including LATS2 [ 22] | Reference Offset:  ['43662-43841'] | Reference Text:  Taken together, our data suggest that Lats2 is a novel centrosome-associated kinase that may be involved in regulating the centrosome and/or mitotic spindle downstream of Aurora-A | Discourse Facet:  Implication_Citation | Annotator:  F, |

Topic ID: D1407_TRAIN | Citance Number: 12 | Reference Article:  Toji.txt | Citing Article:  Vader.txt | Citation Marker Offset:  14521-14523 | Citation Marker:  47 | Citation Offset:  14391-14524 | Citation Text:  Aurora-A is required for the correct localisation and function of centrosomal components like centrosomin [45], NDEL1 [46], LATS [47] | Reference Offset:  ['43662-43841'] | Reference Text:  Taken together, our data suggest that Lats2 is a novel centrosome-associated kinase that may be involved in regulating the centrosome and/or mitotic spindle downstream of Aurora-A | Discourse Facet:  Implication_Citation | Annotator:  F, |

Topic ID: D1407_TRAIN | Citance Number: 13 | Reference Article:  Toji.txt | Citing Article:  Voorhoeve.txt | Citation Marker Offset:  30300-30317 | Citation Marker:  Toji et al., 2004 | Citation Offset:  30097-30318 | Citation Text:  Additionally, loss of LATS2 stimulated reduplication, an activity comparable to that observed when Cyclin E is overexpressed in the absence of p53 (Fukasawa et al., 1996, Tarapore and Fukasawa, 2002 and Toji et al., 2004) | Reference Offset:  ['8165-8376'] | Reference Text:  over-expression of mouse Lats2 in v-ras-transformed NIH3T3 cells has shown to inhibit G1/S transition through down-regulation of Cyclin E/Cdk2 kinase activity and to suppress tumorigenicity of NIH3T3/v-ras cells | Discourse Facet:  Results_Citation | Annotator:  F, |

Topic ID: D1407_TRAIN | Citance Number: 14 | Reference Article:  Toji.txt | Citing Article:  Voorhoeve.txt | Citation Marker Offset:  44624-44641 | Citation Marker:  Toji et al., 2004 | Citation Offset:  44490-44642 | Citation Text:  Antibodies used were DO-1 (p53), F5 (p21cip1), F235 (RAS), M20 (cyclin E), M2 (CDK2) from Santa Cruz Biotechnology, and 3D10 (LATS2) (Toji et al., 2004) | Reference Offset:  ['48324-48433'] | Reference Text:  The generation and specificity of the 3D10 anti-human Lats2 monoclonal antibody has been previously described | Discourse Facet:  Method_Citation | Annotator:  F, |

Topic ID: D1407_TRAIN | Citance Number: 15 | Reference Article:  Toji.txt | Citing Article:  Zhang,Hu.txt | Citation Marker Offset:  13139-13141 | Citation Marker:  27 | Citation Offset:  13086-13142 | Citation Text:  The plasmids for pCMVmyc-LATS2, described elsewhere [27] | Reference Offset:  ['45892-46038'] | Reference Text:  The pCMVmyc-Lats2C plasmid had been constructed by ligating the HincII-NotI fragment from pAP3neo-HsLATS2 into the EcoRV and NotI sites of pCMVmyc | Discourse Facet:  Method_Citation | Annotator:  F, |

Topic ID: D1407_TRAIN | Citance Number: 4 | Reference Article:  Toji.txt | Citing Article:  Abe.txt | Citation Marker Offset:  2335-2336 | Citation Marker:  8 | Citation Offset:  2255-2337 | Citation Text:  Furthermore, transiently expressed exogenous LATS2 is localized to centrosomes [8] | Reference Offset:  ['24798-24987'] | Reference Text:  These results indicate that Aurora-A interacts with the N-terminus (1–393 amino acids) of Lats2 in vivo, which supports the notion that Lats2 is a phosphorylation target of Aurora-A in vivo | Discourse Facet:  Results_Citation | Annotator:  F, |

