Topic ID: D1407_TRAIN | Citance Number: 1 | Reference Article:  Toji.txt | Citing Article:  Abe.txt | Citation Marker Offset:  2251-2252 | Citation Marker:  8 | Citation Offset:  2147-2253 | Citation Text:  LATS2, it has been reported that LATS2 induces G2/M arrest and subsequent apoptotic cell death [7] and [8] | Reference Offset:  ['43662-43841'] | Reference Text:  Taken together, our data suggest that Lats2 is a novel centrosome-associated kinase that may be involved in regulating the centrosome and/or mitotic spindle downstream of Aurora-A | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1407_TRAIN | Citance Number: 2 | Reference Article:  Toji.txt | Citing Article:  Abe.txt | Citation Marker Offset:  18401-18402 | Citation Marker:  8 | Citation Offset:  18266-18403 | Citation Text:  At the onset of mitosis, LATS2 is activated by phosphorylation and plays important roles in G2/M transition in cultured cells [7] and [8] | Reference Offset:  ['7963-8393', '10249-10494'] | Reference Text:  Over-expression of human Lats2/Kpm in HeLa cells has also shown to cause G2/M arrest through inhibition of Cdc2 kinase activity and to induce apoptosis (Hori et al. 2000; Kamikubo et al. 2003), whereas over-expression of mouse Lats2 in v-ras-transformed NIH3T3 cells has shown to inhibit G1/S transition through down-regulation of Cyclin E/Cdk2 kinase activity and to suppress tumorigenicity of NIH3T3/v-ras cells (Li et al. 2003) ... This conversion was completely blocked by the addition of phosphatase inhibitors (Fig. 1B, lane 12), indicating that Lats2 is indeed phosphorylated at the M phase, in which nocodazole-treated cells are arrested by the spindle assembly checkpoint | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1407_TRAIN | Citance Number: 3 | Reference Article:  Toji.txt | Citing Article:  Abe.txt | Citation Marker Offset:  20221-20222 | Citation Marker:  8 | Citation Offset:  19976-20223 | Citation Text:  We found no obvious effect of LATS2-depletion on the Aurora-A kinase activity when monitored by phosphorylation state of Thr288 on Aurora-A [18] (Fig. S2), suggesting that LATS2 may be a downstream of Aurora-A as mentioned in a previous report [8] | Reference Offset:  ['7963-8393'] | Reference Text:  Over-expression of human Lats2/Kpm in HeLa cells has also shown to cause G2/M arrest through inhibition of Cdc2 kinase activity and to induce apoptosis (Hori et al. 2000; Kamikubo et al. 2003), whereas over-expression of mouse Lats2 in v-ras-transformed NIH3T3 cells has shown to inhibit G1/S transition through down-regulation of Cyclin E/Cdk2 kinase activity and to suppress tumorigenicity of NIH3T3/v-ras cells (Li et al. 2003) | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1407_TRAIN | Citance Number: 4 | Reference Article:  Toji.txt | Citing Article:  Abe.txt | Citation Marker Offset:  2335-2336 | Citation Marker:  8 | Citation Offset:  2255-2451 | Citation Text:  Furthermore, transiently expressed exogenous LATS2 is localized to centrosomes [8] and [9] and LATS2−/− mouse embryonic fibroblasts (MEFs) show centrosome amplification and genomic instability [9] | Reference Offset:  ['26995-27277', '27361-27668', '27670-27790'] | Reference Text:  Interestingly, when cells enter cytokinesis, GFP-Lats2 was observed again as bright spots and the spots were distributed to daughter cells and localized at each pole (Fig. 4A,v), which is suggestive of re-localization to the centrosomes of GFP-Lats2 when the cells enter cytokinesis ... Together with the previous reports that Aurora-A is localized to the interphase and mitotic centrosomes as well as to the spindle poles (Bischoff et al. 1998; Zhou et al. 1998), these results indicate that Lats2 co-localizes with Aurora-A at the centrosomes during interphase, early prophase and cytokinesis ... That Lats2 localizes to centrosomes during interphase was also confirmed by its co-localization with γ-tubulin (Fig. 4C) | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1407_TRAIN | Citance Number: 5 | Reference Article:  Toji.txt | Citing Article:  Akhmedov.txt | Citation Marker Offset:  4092-4093 | Citation Marker:  9 | Citation Offset:  3949-4094 | Citation Text:  Lats2/Kpm is homologous to Lats1 and undergoes cell cycle-dependent phosphorylation [8]; its residue S83 is phosphorylated by Aurora-A kinase [9] | Reference Offset:  ['18198-18373', '21812-21946'] | Reference Text:  Whereas phosphorylation of the S91C, T93D or S94A mutants was not significantly altered, the phosphorylation of the S83C mutant was remarkably diminished (Fig. 2C, left panel) ... The 3B11 antibody was used to show that the S83 residue in endogenous Lats2 is phosphorylated in vivo in a cell cycle-dependent manner | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1407_TRAIN | Citance Number: 6 | Reference Article:  Toji.txt | Citing Article:  Carmena.txt | Citation Marker Offset:  8194-8196 | Citation Marker:  30 | Citation Offset:  8061-8208 | Citation Text:  Aurora A contributes to this by recruiting pericentriolar material (PCM) proteins including Centrosomin [29], LATS2, TACC and NDEL1 [30, 31 and 32] | Reference Offset:  ['39221-39426', '39428-39688'] | Reference Text:  Moreover, in accordance with a previous report on a role of Drosophila Aurora-A in centrosome maturation, Aurora-A promotes the recruitment of D-TACC to centrosomes and phosphorylates it (Giet et al. 2002) ... Because the phosphorylation of S83 on Lats2 is one of requirements for centrosomal localization of Lats2 in this issue, Aurora-A may also promote the recruitment of Lats2 to centrosomes as well as Cyclin B1/Cdc2 complex and D-TACC for the centrosome maturation | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1407_TRAIN | Citance Number: 7 | Reference Article:  Toji.txt | Citing Article:  Dvash.txt | Citation Marker Offset:  20610-20612 | Citation Marker:  65 | Citation Offset:  20507-20715 | Citation Text:  Since in S. cerevisiae DBF2 was shown to be associated with anaphase and/or telophase progression (16, 65), we examined whether the deletion of the kinase would also affect cell cycle progression in N. crassa | Reference Offset:  ['8395-8518'] | Reference Text:  These observations suggest that Lats kinases act as tumour suppressors by inhibition of cell cycle progression or apoptosis | Discourse Facet:  Implication_Citation | Annotator:  G, |

