Topic ID: D1407_TRAIN | Citance Number: 1 | Reference Article:  Toji.txt | Citing Article:  Abe.txt | Citation Marker Offset:  2251-2252 | Citation Marker:  8 | Citation Offset:  2131-2253 | Citation Text:  With respect to LATS2, it has been reported that LATS2 induces G2/M arrest and subsequent apoptotic cell death [7] and [8] | Reference Offset:  ['10114-10494', '10825-11014', '35285-35552'] | Reference Text:  The slowly migrating Lats2 band was converted into the fast-migrating band after the phosphatase treatment in a dose-dependent manner. This conversion was completely blocked by the addition of phosphatase inhibitors (Fig. 1B, lane 12), indicating that Lats2 is indeed phosphorylated at the M phase, in which nocodazole-treated cells are arrested by the spindle assembly checkpoint ... This conversion was also completely blocked by the addition of phosphatase inhibitors. These results indicate that Lats2 is phosphorylated not only at the M phase but also at the G1/S phase ... In this study, we have shown that Lats2 is phosphorylated in at least two distinct stages of the cell cycle, G1/S phase and M phase containing nocodazole arrest (Fig. 1A and B), suggesting that Lats2 is regulated by multiple phosphorylations throughout the cell cycle | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1407_TRAIN | Citance Number: 2 | Reference Article:  Toji.txt | Citing Article:  Abe.txt | Citation Marker Offset:  18401-18402 | Citation Marker:  8 | Citation Offset:  18266-18403 | Citation Text:  At the onset of mitosis, LATS2 is activated by phosphorylation and plays important roles in G2/M transition in cultured cells [7] and [8] | Reference Offset:  ['8998-9076', '10825-11014', '35285-35552'] | Reference Text:  Lats2 has been reported to be phosphorylated in the M phase (Hori et al. 2000) ... This conversion was also completely blocked by the addition of phosphatase inhibitors. These results indicate that Lats2 is phosphorylated not only at the M phase but also at the G1/S phase ... In this study, we have shown that Lats2 is phosphorylated in at least two distinct stages of the cell cycle, G1/S phase and M phase containing nocodazole arrest (Fig. 1A and B), suggesting that Lats2 is regulated by multiple phosphorylations throughout the cell cycle | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1407_TRAIN | Citance Number: 3 | Reference Article:  Toji.txt | Citing Article:  Abe.txt | Citation Marker Offset:  20221-20222 | Citation Marker:  8 | Citation Offset:  19976-20223 | Citation Text:  We found no obvious effect of LATS2-depletion on the Aurora-A kinase activity when monitored by phosphorylation state of Thr288 on Aurora-A [18] (Fig. S2), suggesting that LATS2 may be a downstream of Aurora-A as mentioned in a previous report [8] | Reference Offset:  ['16550-16826', '36157-36278', '36280-36712'] | Reference Text:  As the kinase that phosphorylates Lats2 is not known, we searched for candidates with the in vitro kinase assay. When we tested DNA-PK (Kim et al. 1999), Nek2 (Fry et al. 1995) and Aurora-A, we found that only Aurora-A could phosphorylate Lats2N efficiently in vitro (Fig. 1D) ... We identified a centrosomal kinase, Aurora-A, as one of the candidate kinases for phosphorylation of S83 residue on Lats2 ... Immunostaining data with the anti-phosphorylated S83 antibody reveals that S83 on Lats2 is phosphorylated in vivo during the cell cycle and it is more prominent during prophase and metaphase than interphase, anapahse and telophase, which is similar to the expression pattern of Aurora-A during the cell cycle (Fig. 4A and Bischoff et al. 1998). These results suggest that S83 on Lats2 is a phosphorylation target of Aurora-A in vivo | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1407_TRAIN | Citance Number: 4 | Reference Article:  Toji.txt | Citing Article:  Abe.txt | Citation Marker Offset:  2335-2336 | Citation Marker:  8 | Citation Offset:  2255-2451 | Citation Text:  Furthermore, transiently expressed exogenous LATS2 is localized to centrosomes [8] and [9] and LATS2-/- mouse embryonic fibroblasts (MEFs) show centrosome amplification and genomic instability [9] | Reference Offset:  ['37225-37414'] | Reference Text:  Immunofluorescence data of exogenous GFP or 6Myc-tagged Lats2 protein indicate that Lats2 and Aurora-A co-localize at the centrosome during the cell cycle, except for metaphase and anaphase | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1407_TRAIN | Citance Number: 5 | Reference Article:  Toji.txt | Citing Article:  Akhmedov.txt | Citation Marker Offset:  4092-4093 | Citation Marker:  9 | Citation Offset:  3949-4094 | Citation Text:  Lats2/Kpm is homologous to Lats1 and undergoes cell cycle-dependent phosphorylation [8]; its residue S83 is phosphorylated by Aurora-A kinase [9] | Reference Offset:  ['17973-18373', '22945-23153', '36280-36712'] | Reference Text:  In vitro kinase assays with Aurora-A were performed with these mutated sequences. A loading control experiment with Coomassie Blue staining showed that an equal amount of each protein had been applied (Fig. 2C, right panel). Whereas phosphorylation of the S91C, T93D or S94A mutants was not significantly altered, the phosphorylation of the S83C mutant was remarkably diminished (Fig. 2C, left panel) ... Taken together, we conclude that Aurora-A is the phosphorylating kinase of Lats2 in the M phase because Aurora-A predominately phosphorylates S83 on Lats2 in vitro and this site is also phosphorylated in vivo ... Immunostaining data with the anti-phosphorylated S83 antibody reveals that S83 on Lats2 is phosphorylated in vivo during the cell cycle and it is more prominent during prophase and metaphase than interphase, anapahse and telophase, which is similar to the expression pattern of Aurora-A during the cell cycle (Fig. 4A and Bischoff et al. 1998). These results suggest that S83 on Lats2 is a phosphorylation target of Aurora-A in vivo | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1407_TRAIN | Citance Number: 6 | Reference Article:  Toji.txt | Citing Article:  Carmena.txt | Citation Marker Offset:  8194-8196 | Citation Marker:  30 | Citation Offset:  7956-8208 | Citation Text:  Centrosomes increase both in size and in microtubule-nucleating capacity just before mitotic entry [28]. Aurora A contributes to this by recruiting pericentriolar material (PCM) proteins including Centrosomin [29], LATS2, TACC and NDEL1 [30, 31 and 32] | Reference Offset:  ['27361-27668', '37225-37414'] | Reference Text:  Together with the previous reports that Aurora-A is localized to the interphase and mitotic centrosomes as well as to the spindle poles (Bischoff et al. 1998; Zhou et al. 1998), these results indicate that Lats2 co-localizes with Aurora-A at the centrosomes during interphase, early prophase and cytokinesis ... Immunofluorescence data of exogenous GFP or 6Myc-tagged Lats2 protein indicate that Lats2 and Aurora-A co-localize at the centrosome during the cell cycle, except for metaphase and anaphase | Discourse Facet:  Results_Citation | Annotator:  H, |
