Topic ID: D1409_TRAIN | Citance Number: 1 | Reference Article:  Sherr.txt | Citing Article:  Benelli.txt | Citation Marker Offset:  2586-2587 | Citation Marker:  5 | Citation Offset:  2417-2588 | Citation Text:  For example, loss of, or functional alterations in, the two major tumor suppressor proteins pRB and p53 cause an up-regulation of ribosome biogenesis in cancer tissues [5] | Reference Offset:  ['11278-11752', '18081-18384'] | Reference Text:  There is now compelling evidence that particular components of this regulatory machinery act as tumor suppressors or protooncogenes, whose mutations occur so frequently as to prompt speculation that disabling “the RB pathway” may be essential for the formation of cancer cells (Sherr, 1996, Sellers and Kaelin, 1997, Nevins, 2001, Hahn and Weinberg, 2002 and Ortega et al., 2002). While RB disruption is the sine qua non of retinoblastoma, RB loss occurs in many tumor types ... The p53 gene is mutated in more than 50% of human cancers, and mutations in other genes that affect p53 function occur in many, if not all, tumors that retain a normal p53 gene. Among these are mutations affecting Hdm2, ARF, and a series of transcription factors that control ARF and p53 gene expression | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1409_TRAIN | Citance Number: 2 | Reference Article:  Sherr.txt | Citing Article:  Gao.txt | Citation Marker Offset:  19847-19849 | Citation Marker:  38 | Citation Offset:  19690-19850 | Citation Text:  Maintenance of cell-cycle arrest in terminally differentiated cells is important for the ultimate architecture and function of specific tissues [36], [37], [38] | Reference Offset:  ['14025-14641'] | Reference Text:  the selective involvement of particular D-type cyclins in tumorigenesis may also reflect their normal patterns of tissue-specific expression during development. Consistent with observations that D1, and not D2 or D3, is the major D-type cyclin expressed in both retinal and mammary epithelial tissues, mice lacking cyclin D1 exhibit retinal hypoplasia and defective lobuloalveolar development of breast epithelium during pregnancy ( Fantl et al., 1995 and Sicinski et al., 1995). Conversely, enforced expression of a cyclin D1 transgene in the breast tissue of mice predisposes to mammary cancer ( Wang et al., 1994) | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1409_TRAIN | Citance Number: 3 | Reference Article:  Sherr.txt | Citing Article:  Kirienko.txt | Citation Marker Offset:  3313-3320 | Citation Marker:  [4]–[8] | Citation Offset:  3117-3320 | Citation Text:  The Retinoblastoma protein, pRb, was among the first recognized tumor suppressor proteins [1]–[3], and loss or repression of pRb function is thought to play a causative role in most human cancers [4]–[8] | Reference Offset:  ['11278-11752'] | Reference Text:  There is now compelling evidence that particular components of this regulatory machinery act as tumor suppressors or protooncogenes, whose mutations occur so frequently as to prompt speculation that disabling “the RB pathway” may be essential for the formation of cancer cells (Sherr, 1996, Sellers and Kaelin, 1997, Nevins, 2001, Hahn and Weinberg, 2002 and Ortega et al., 2002). While RB disruption is the sine qua non of retinoblastoma, RB loss occurs in many tumor types | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1409_TRAIN | Citance Number: 4 | Reference Article:  Sherr.txt | Citing Article:  Liu,Dibling.txt | Citation Marker Offset:  1769-1770 | Citation Marker:  2 | Citation Offset:  1250-1771 | Citation Text:  The retinoblastoma tumor suppressor gene (RB) is functionally inactivated in most human neoplasms [1] either by direct mutation/deletion — such as occurs in retinoblastoma, osteosarcoma and small cell lung carcinoma — or indirectly through altered expression/activity of upstream regulators. These regulators include cyclin D1 in breast carcinoma, head and neck tumors and mantle cell lymphomas, CDK4 in glioblastomas, p16/INK4A loss in melanoma, pancreatic carcinoma and T cell lymphoma and Bmi-1 in B-cell lymphomas [2] | Reference Offset:  ['13046-13578', '28072-28206'] | Reference Text:  Table 1. The RB pathway in human cancer Cancer type	INK4a loss	Cyclin D1 or Cdk4 overexpression	RB loss Small cell lung cancer	15%	5% Cyclin D1	80% Non-small cell lung cancer	58%		20%–30% Pancreatic cancer	80% Breast cancer	30%	>50% Cyclin D1 Glioblastoma multiforme	60%	40% Cdk4 T cell ALL	75% Mantle cell lymphoma		90% Cyclin D1 This table summarizes approximate frequencies of Ink4a loss (by mutation, deletion, or gene silencing), RB mutation or deletion, and cyclin D1 or Cdk4 overexpression in different forms of cancer ... overexpression of Bmi-1 accelerates Eμ-Myc-induced lymphomagenesis by dampening p19Arf and p16Ink4a expression ( Jacobs et al., 1999b) | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1409_TRAIN | Citance Number: 5 | Reference Article:  Sherr.txt | Citing Article:  Longworth.txt | Citation Marker Offset:  3571-3572 | Citation Marker:  2 | Citation Offset:  3385-3573 | Citation Text:  Mutation of the retinoblastoma tumor susceptibility gene (RB1) is the rate-limiting step in the genesis of retinoblastoma and over 90% of human tumors exhibit reduced pRB function [1], [2] | Reference Offset:  ['11278-11752'] | Reference Text:  There is now compelling evidence that particular components of this regulatory machinery act as tumor suppressors or protooncogenes, whose mutations occur so frequently as to prompt speculation that disabling “the RB pathway” may be essential for the formation of cancer cells (Sherr, 1996, Sellers and Kaelin, 1997, Nevins, 2001, Hahn and Weinberg, 2002 and Ortega et al., 2002). While RB disruption is the sine qua non of retinoblastoma, RB loss occurs in many tumor types | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1409_TRAIN | Citance Number: 6 | Reference Article:  Sherr.txt | Citing Article:  Moon.txt | Citation Marker Offset:  4903-4905 | Citation Marker:  23 | Citation Offset:  4467-4906 | Citation Text:  E2F1 stabilizes p53 by inducing the expression of p19(p14)/ARF, an inhibitor of the mdm2 ubiquitin ligase that targets p53 for proteolysis [19]. In addition E2F1 also stabilizes p53 via p19(p14)/ARF-independent mechanisms that may include direct binding to p53 and/or changes that promote the phosphorylation of p53 [20],[21],[22]. This activity of E2F, which acts upstream of p53, is thought to be a critical tumor suppressor pathway [23] | Reference Offset:  ['11278-11752', '19891-20494', '20891-21172'] | Reference Text:  There is now compelling evidence that particular components of this regulatory machinery act as tumor suppressors or protooncogenes, whose mutations occur so frequently as to prompt speculation that disabling “the RB pathway” may be essential for the formation of cancer cells (Sherr, 1996, Sellers and Kaelin, 1997, Nevins, 2001, Hahn and Weinberg, 2002 and Ortega et al., 2002). While RB disruption is the sine qua non of retinoblastoma, RB loss occurs in many tumor types ... The ability of deregulated E2F to induce ARF transcription provides one connection between the RB pathway and p53 ( DeGregori et al., 1997 and Bates et al., 1998) and may help to explain why most tumors have defects in the p53 pathway. Overexpression of E2F in established cell lines lacking ARF or p53 can enforce S phase entry even in the absence of mitogenic stimulation ( Johnson et al., 1993, Qin et al., 1994 and Shan and Lee, 1994), but nonimmortal human diploid fibroblasts instead undergo an ARF-dependent p53 response leading to G1 phase arrest and, later, to apoptosis ( Lomazzi et al., 2002) ... in mouse tumor models lacking functional RB or overexpressing E2F, Arf loss does not invariably diminish apoptosis or accelerate tumorigenesis ( Russell et al., 2002, Tolbert et al., 2002 and Tsai et al., 2002), indicating that E2F can activate p53 through Arf-independent pathways | Discourse Facet:  Discussion_Citation | Annotator:  B, |
