Topic ID: D1409_TRAIN | Citance Number: 1 | Reference Article:  Sherr.txt | Citing Article:  Benelli.txt | Citation Marker Offset:  2586-2587 | Citation Marker:  5 | Citation Offset:  2417-2588 | Citation Text:  For example, loss of, or functional alterations in, the two major tumor suppressor proteins pRB and p53 cause an up-regulation of ribosome biogenesis in cancer tissues [5] | Reference Offset:  ['19532-19889'] | Reference Text:  Hence, human cells lacking intact RB and p53 checkpoints eventually experience telomere dysfunction, leading to chromosomal end-end joining and fusion-bridge-breakage cycles that trigger the aneuploidy observed in most carcinomas ( Hanahan and Weinberg, 2000, Sherr and DePinho, 2000, Wright and Shay, 2000, Hahn and Weinberg, 2002 and O'Hagan et al., 2002) | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1409_TRAIN | Citance Number: 2 | Reference Article:  Sherr.txt | Citing Article:  Gao.txt | Citation Marker Offset:  19847-19849 | Citation Marker:  38 | Citation Offset:  19690-19850 | Citation Text:  Maintenance of cell-cycle arrest in terminally differentiated cells is important for the ultimate architecture and function of specific tissues [36], [37], [38] | Reference Offset:  ['2109-2344'] | Reference Text:  During the first gap phase (G1) of the cell division cycle, mitogenic stimulation triggers the activity of key regulatory molecules that initiate DNA synthesis (S phase), after which cells are committed to complete the cycle and divide | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1409_TRAIN | Citance Number: 3 | Reference Article:  Sherr.txt | Citing Article:  Kirienko.txt | Citation Marker Offset:  3313-3320 | Citation Marker:  [4]–[8] | Citation Offset:  3117-3320 | Citation Text:  The Retinoblastoma protein, pRb, was among the first recognized tumor suppressor proteins [1]–[3], and loss or repression of pRb function is thought to play a causative role in most human cancers [4]–[8] | Reference Offset:  ['11278-11657', '11659-11752'] | Reference Text:  There is now compelling evidence that particular components of this regulatory machinery act as tumor suppressors or protooncogenes, whose mutations occur so frequently as to prompt speculation that disabling “the RB pathway” may be essential for the formation of cancer cells (Sherr, 1996, Sellers and Kaelin, 1997, Nevins, 2001, Hahn and Weinberg, 2002 and Ortega et al., 2002) ... While RB disruption is the sine qua non of retinoblastoma, RB loss occurs in many tumor types | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1409_TRAIN | Citance Number: 4 | Reference Article:  Sherr.txt | Citing Article:  Liu,Dibling.txt | Citation Marker Offset:  1769-1770 | Citation Marker:  2 | Citation Offset:  1542-1771 | Citation Text:  These regulators include cyclin D1 in breast carcinoma, head and neck tumors and mantle cell lymphomas, CDK4 in glioblastomas, p16/INK4A loss in melanoma, pancreatic carcinoma and T cell lymphoma and Bmi-1 in B-cell lymphomas [2] | Reference Offset:  ['12204-12347', '13384-13578', '28044-28206'] | Reference Text:  Table 1 summarizes approximate frequencies of INK4a and RB loss of function, and cyclin D1 or Cdk4 overexpression, in different forms of cancer ... This table summarizes approximate frequencies of Ink4a loss (by mutation, deletion, or gene silencing), RB mutation or deletion, and cyclin D1 or Cdk4 overexpression in different forms of cancer ... As might be expected, then, overexpression of Bmi-1 accelerates Eμ-Myc-induced lymphomagenesis by dampening p19Arf and p16Ink4a expression ( Jacobs et al., 1999b) | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1409_TRAIN | Citance Number: 5 | Reference Article:  Sherr.txt | Citing Article:  Longworth.txt | Citation Marker Offset:  3571-3572 | Citation Marker:  2 | Citation Offset:  3385-3573 | Citation Text:  Mutation of the retinoblastoma tumor susceptibility gene (RB1) is the rate-limiting step in the genesis of retinoblastoma and over 90% of human tumors exhibit reduced pRB function [1], [2] | Reference Offset:  ['11278-11657', '11659-11752'] | Reference Text:  There is now compelling evidence that particular components of this regulatory machinery act as tumor suppressors or protooncogenes, whose mutations occur so frequently as to prompt speculation that disabling “the RB pathway” may be essential for the formation of cancer cells (Sherr, 1996, Sellers and Kaelin, 1997, Nevins, 2001, Hahn and Weinberg, 2002 and Ortega et al., 2002) ... While RB disruption is the sine qua non of retinoblastoma, RB loss occurs in many tumor types | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1409_TRAIN | Citance Number: 6 | Reference Article:  Sherr.txt | Citing Article:  Moon.txt | Citation Marker Offset:  4903-4905 | Citation Marker:  23 | Citation Offset:  4799-4906 | Citation Text:  This activity of E2F, which acts upstream of p53, is thought to be a critical tumor suppressor pathway [23] | Reference Offset:  ['7151-7415', '19891-20125'] | Reference Text:  Complexes between RB family members and various E2Fs actively repress gene expression by recruiting histone deacetylases (HDACs) and other chromatin remodeling factors to E2F-responsive promoters (Harbour and Dean, 2000, Rayman et al., 2002 and Ogawa et al., 2002) ... The ability of deregulated E2F to induce ARF transcription provides one connection between the RB pathway and p53 ( DeGregori et al., 1997 and Bates et al., 1998) and may help to explain why most tumors have defects in the p53 pathway | Discourse Facet:  Results_Citation | Annotator:  G, |
