Topic ID: D1410_TRAIN | Citance Number: 1 | Reference Article:  Wang,Tang.txt | Citing Article:  Chen,Umelo.txt | Citation Marker Offset:  28028-28030 | Citation Marker:  11 | Citation Offset:  27952-28031 | Citation Text:  The up-regulation of miR-146a was also detected in cervical cancer tissues [11] | Reference Offset:  ['10706-10985', '13685-13955'] | Reference Text:  We were able to confirm that the cancer tissues had reduced expression of miR-126 and miR-424, and increased expression of miR-15b, miR-16, miR-146a, miR-155, and miR-223 (Fig. 3B and 3C), after individual miRNA level in each sample was quantified and normalized to U6 expression ... However, downregulation of miR-146a was noticed in the raft cultures rather than the upregulation seen in cervical cancer tissues and was further confirmed by northern blotting (Fig. 5), indicating that the upregulation of miR-146a expression is cervical cancer-specific | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1410_TRAIN | Citance Number: 2 | Reference Article:  Wang,Tang.txt | Citing Article:  Chen,Umelo.txt | Citation Marker Offset:  34232-34234 | Citation Marker:  11 | Citation Offset:  34092-34310 | Citation Text:  Functional studies showed that, when introduced into cell lines, miR-146a was found to promote cell proliferation in cervical cancer cells [11], which suggests that miR-146a works as an oncogenic miRNA in these cancers | Reference Offset:  ['16238-16407'] | Reference Text:  A slow, but significantly enhanced cell proliferation of both HeLa (p<0.009, t-test) and HCT116 (P<0.019, t-test) cells was noticed in the presence of exogenous miR-146a | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1410_TRAIN | Citance Number: 3 | Reference Article:  Wang,Tang.txt | Citing Article:  Chen,Umelo.txt | Citation Marker Offset:  3947-3949 | Citation Marker:  11 | Citation Offset:  3798-4027 | Citation Text:  The expression of miR-146a has been found to be up-regulated in papillary thyroid carcinoma [9], anaplastic thyroid cancer [10] and cervical cancer [11], which suggests miR-146a could work as an ìoncogenicî miRNA in these cancers | Reference Offset:  ['10706-10985'] | Reference Text:  We were able to confirm that the cancer tissues had reduced expression of miR-126 and miR-424, and increased expression of miR-15b, miR-16, miR-146a, miR-155, and miR-223 (Fig. 3B and 3C), after individual miRNA level in each sample was quantified and normalized to U6 expression | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1410_TRAIN | Citance Number: 4 | Reference Article:  Wang,Tang.txt | Citing Article:  Du,Hu.txt | Citation Marker Offset:  12441-12443 | Citation Marker:  37 | Citation Offset:  12092-12508 | Citation Text:  MiR-155 is upregulated in several human tumors, such as chronic lymphocytic leukemia [22], melanoma [23], head and neck squamous cell carcinoma [24], clear-cell kidney cancer [25], hepatocellular carcinoma [26], lymphoma [27], [28], [29], [30], [31], thyroid carcinoma [32], breast cancer [33], [34], [35], [36], colon cancer [33], cervical cancer [37], pancreatic cancer [38], [39], [40], and lung cancer [41], [42] | Reference Offset:  ['10706-10985', '21822-22148'] | Reference Text:  We were able to confirm that the cancer tissues had reduced expression of miR-126 and miR-424, and increased expression of miR-15b, miR-16, miR-146a, miR-155, and miR-223 (Fig. 3B and 3C), after individual miRNA level in each sample was quantified and normalized to U6 expression ... The increased expression of miR-15b, miR-16, miR-146a, miR-155, and miR-223 that we observed in cervical cancer tissues has also been implicated in the development of other human cancers: miR-15 and miR-16 regulate apoptosis by targeting BCL2 [60] and their mutation has been associated with chronic lymphocytic leukemia [61]; | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1410_TRAIN | Citance Number: 5 | Reference Article:  Wang,Tang.txt | Citing Article:  Du,Hu.txt | Citation Marker Offset:  14570-14572 | Citation Marker:  37 | Citation Offset:  14355-14585 | Citation Text:  LMP1 and LMP2A were expressed in approximately 65% and 45.7% NPC patients, repectively [47], [48], and miR-155 was also found to be upregulated in many human tumors, which were not related to EBV [32], [33], [34], [37], [38], [42] | Reference Offset:  ['10706-10985', '17277-17486'] | Reference Text:  We were able to confirm that the cancer tissues had reduced expression of miR-126 and miR-424, and increased expression of miR-15b, miR-16, miR-146a, miR-155, and miR-223 (Fig. 3B and 3C), after individual miRNA level in each sample was quantified and normalized to U6 expression ... However, a high level of miR-146a expression was found to be cervical cancer-specific since its expression was down-regulated both in normal tissues and in HPV-infected raft tissues with pre-neoplastic lesions | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1410_TRAIN | Citance Number: 6 | Reference Article:  Wang,Tang.txt | Citing Article:  Liu,Wang.txt | Citation Marker Offset:  12564-12565 | Citation Marker:  8 | Citation Offset:  12471-12569 | Citation Text:  In addition, up-regulation of miR-24 has also been observed in gastric and cervical cancers [8, 9] | Reference Offset:  ['10706-10985', '17277-17486'] | Reference Text:  We were able to confirm that the cancer tissues had reduced expression of miR-126 and miR-424, and increased expression of miR-15b, miR-16, miR-146a, miR-155, and miR-223 (Fig. 3B and 3C), after individual miRNA level in each sample was quantified and normalized to U6 expression ... However, a high level of miR-146a expression was found to be cervical cancer-specific since its expression was down-regulated both in normal tissues and in HPV-infected raft tissues with pre-neoplastic lesions | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1410_TRAIN | Citance Number: 7 | Reference Article:  Wang,Tang.txt | Citing Article:  Liu,Wang.txt | Citation Marker Offset:  2978-2979 | Citation Marker:  8 | Citation Offset:  2912-3004 | Citation Text:  Up-regulation of miR-24 has been observed in a number of cancers [8, 9], including OSCC [10] | Reference Offset:  ['10706-10985', '17277-17486'] | Reference Text:  We were able to confirm that the cancer tissues had reduced expression of miR-126 and miR-424, and increased expression of miR-15b, miR-16, miR-146a, miR-155, and miR-223 (Fig. 3B and 3C), after individual miRNA level in each sample was quantified and normalized to U6 expression ... However, a high level of miR-146a expression was found to be cervical cancer-specific since its expression was down-regulated both in normal tissues and in HPV-infected raft tissues with pre-neoplastic lesions | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1410_TRAIN | Citance Number: 8 | Reference Article:  Wang,Tang.txt | Citing Article:  Patron.txt | Citation Marker Offset:  26079-26081 | Citation Marker:  52 | Citation Offset:  25896-26082 | Citation Text:  One study reports upregulation of this miR as revealed by qRT-PCR whereas a sequencing approach and microarray analysis point to a repression of miR-133b in tumor tissue [22], [51], [52] | Reference Offset:  ['28555-28639', '5602-5791', '9311-9572'] | Reference Text:  Overall, we cloned a total of 174 miRNAs from 363 cDNA clones which were categorized into 46 different miRNA species (Table 1), with miR-21, miR-24, miR-27a, and miR-205 being most abundant ... To further investigate whether miRNAs are differentially expressed in cervical cancer tissues, we collected five pairs of age-matched normal and cancerous cervical tissues and compared their expression profiles using a miRNA array analysis containing 455 miRNAs ... A microarray assay was performed using a service provider (LC Sciences, Houston, TX) | Discourse Facet:  Method_Citation | Annotator:  G, |

Topic ID: D1410_TRAIN | Citance Number: 9 | Reference Article:  Wang,Tang.txt | Citing Article:  Perry.txt | Citation Marker Offset:  4529-4531 | Citation Marker:  29 | Citation Offset:  4292-4646 | Citation Text:  Changes in miR-146a and miR-146b expression and/or binding have also been implicated in the metastatic and proliferative response associated with the development of papillary thyroid carcinoma (PTC) [26], [27] and [28], cervical cancer [29], ovarian cancer [30], breast cancer [30], [31] and [32], pancreatic cancer [31] and prostate cancer [31] and [33] | Reference Offset:  ['16238-16407', '16628-16708'] | Reference Text:  A slow, but significantly enhanced cell proliferation of both HeLa (p<0.009, t-test) and HCT116 (P<0.019, t-test) cells was noticed in the presence of exogenous miR-146a ... This data suggests that miR-146a functions as a growth factor in cervical cancer | Discourse Facet:  Results_Citation | Annotator:  G, |

