Topic ID: D1410_TRAIN | Citance Number: 1 | Reference Article:  Wang,Tang.txt | Citing Article:  Chen,Umelo.txt | Citation Marker Offset:  28028-28030 | Citation Marker:  11 | Citation Offset:  27952-28031 | Citation Text:  The up-regulation of miR-146a was also detected in cervical cancer tissues [11] | Reference Offset:  ['15542-15717', '17277-17486', '19423-19639'] | Reference Text:  Considering a 6-fold increase of miR-146a expression in cervical cancer tissues, we hypothesized that a high level of miR-146a might play a role in cervical cancer cell growth ... However, a high level of miR-146a expression was found to be cervical cancer-specific since its expression was down-regulated both in normal tissues and in HPV-infected raft tissues with pre-neoplastic lesions ... Thus, we conclude that upregulation of miR-146a expression in cervical cancer is beneficial for cancer growth as introduction of miR-146a into cancer cells increased cell doubling time and promoted cell proliferation | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1410_TRAIN | Citance Number: 2 | Reference Article:  Wang,Tang.txt | Citing Article:  Chen,Umelo.txt | Citation Marker Offset:  34232-34234 | Citation Marker:  11 | Citation Offset:  34092-34310 | Citation Text:  Functional studies showed that, when introduced into cell lines, miR-146a was found to promote cell proliferation in cervical cancer cells [11], which suggests that miR-146a works as an oncogenic miRNA in these cancers | Reference Offset:  ['16409-16708', '19423-19639'] | Reference Text:  By calculation of the cell counts from each group, we demonstrated that both HeLa cells and HCT116 cells containing miR-146a had a doubling time 2ñ3 hrs faster than that of the cells with miR-controls (Fig. 7C and 7D). This data suggests that miR-146a functions as a growth factor in cervical cancer ... Thus, we conclude that upregulation of miR-146a expression in cervical cancer is beneficial for cancer growth as introduction of miR-146a into cancer cells increased cell doubling time and promoted cell proliferation | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1410_TRAIN | Citance Number: 3 | Reference Article:  Wang,Tang.txt | Citing Article:  Chen,Umelo.txt | Citation Marker Offset:  3947-3949 | Citation Marker:  11 | Citation Offset:  3798-4027 | Citation Text:  The expression of miR-146a has been found to be up-regulated in papillary thyroid carcinoma [9], anaplastic thyroid cancer [10] and cervical cancer [11], which suggests miR-146a could work as an ìoncogenicî miRNA in these cancers | Reference Offset:  ['13685-13955', '15542-15717', '17277-17486'] | Reference Text:  However, downregulation of miR-146a was noticed in the raft cultures rather than the upregulation seen in cervical cancer tissues and was further confirmed by northern blotting (Fig. 5), indicating that the upregulation of miR-146a expression is cervical cancer-specific ... Considering a 6-fold increase of miR-146a expression in cervical cancer tissues, we hypothesized that a high level of miR-146a might play a role in cervical cancer cell growth ... However, a high level of miR-146a expression was found to be cervical cancer-specific since its expression was down-regulated both in normal tissues and in HPV-infected raft tissues with pre-neoplastic lesions | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1410_TRAIN | Citance Number: 4 | Reference Article:  Wang,Tang.txt | Citing Article:  Du,Hu.txt | Citation Marker Offset:  12441-12443 | Citation Marker:  37 | Citation Offset:  12092-12508 | Citation Text:  MiR-155 is upregulated in several human tumors, such as chronic lymphocytic leukemia [22], melanoma [23], head and neck squamous cell carcinoma [24], clear-cell kidney cancer [25], hepatocellular carcinoma [26], lymphoma [27], [28], [29], [30], [31], thyroid carcinoma [32], breast cancer [33], [34], [35], [36], colon cancer [33], cervical cancer [37], pancreatic cancer [38], [39], [40], and lung cancer [41], [42] | Reference Offset:  ['10706-10985', '21552-21716', '21822-22009'] | Reference Text:  We were able to confirm that the cancer tissues had reduced expression of miR-126 and miR-424, and increased expression of miR-15b, miR-16, miR-146a, miR-155, and miR-223 (Fig. 3B and 3C), after individual miRNA level in each sample was quantified and normalized to U6 expression ... Another study suggested that overexpression of miR-17-5p, miR-20a, miR-21, miR-92, miR-106a, and miR-155 could be considered an miRNA signature of solid cancer [59] ... The increased expression of miR-15b, miR-16, miR-146a, miR-155, and miR-223 that we observed in cervical cancer tissues has also been implicated in the development of other human cancers: | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1410_TRAIN | Citance Number: 5 | Reference Article:  Wang,Tang.txt | Citing Article:  Du,Hu.txt | Citation Marker Offset:  14570-14572 | Citation Marker:  37 | Citation Offset:  14355-14585 | Citation Text:  LMP1 and LMP2A were expressed in approximately 65% and 45.7% NPC patients, repectively [47], [48], and miR-155 was also found to be upregulated in many human tumors, which were not related to EBV [32], [33], [34], [37], [38], [42] | Reference Offset:  ['10706-10985', '21552-21716', '22292-22509'] | Reference Text:  We were able to confirm that the cancer tissues had reduced expression of miR-126 and miR-424, and increased expression of miR-15b, miR-16, miR-146a, miR-155, and miR-223 (Fig. 3B and 3C), after individual miRNA level in each sample was quantified and normalized to U6 expression ... Another study suggested that overexpression of miR-17-5p, miR-20a, miR-21, miR-92, miR-106a, and miR-155 could be considered an miRNA signature of solid cancer [59] ... miR-155 has recently been implicated in the development of lymphoblastic leukemia/high-grade lymphoma [63] and lung cancer [24] and in the regulation of human fibroblast angiotensin II type 1 receptor expression [64]; | Discourse Facet:  Discussion_Citation | Annotator:  H, |

Topic ID: D1410_TRAIN | Citance Number: 6 | Reference Article:  Wang,Tang.txt | Citing Article:  Liu,Wang.txt | Citation Marker Offset:  12564-12565 | Citation Marker:  8 | Citation Offset:  12471-12569 | Citation Text:  In addition, up-regulation of miR-24 has also been observed in gastric and cervical cancers [8, 9] | Reference Offset:  ['5602-5791', '12247-12530'] | Reference Text:  Overall, we cloned a total of 174 miRNAs from 363 cDNA clones which were categorized into 46 different miRNA species (Table 1), with miR-21, miR-24, miR-27a, and miR-205 being most abundant ... Three miRNAs abundantly expressed only in monolayer cultures (miR-24, miR-29a, and miR-221) and 11 miRNAs abundantly expressed only in the stratified and differentiated raft cultures (miR-27a, miR-27b, miR-200b, miR-200c, miR-203, miR-638, let-7a, let-7b, let-7d, let-7e, and let-7g) | Discourse Facet:  Results_Citation | Annotator:  H, |
