Topic ID: D1410_TRAIN | Citance Number: 1 | Reference Article:  Wang,Tang.txt | Citing Article:  Chen,Umelo.txt | Citation Marker Offset:  28028-28030 | Citation Marker:  11 | Citation Offset:  27952-28031 | Citation Text:  The up-regulation of miR-146a was also detected in cervical cancer tissues [11] | Reference Offset:  ['13685-13955', '18357-18549', '19423-19639'] | Reference Text:  However, downregulation of miR-146a was noticed in the raft cultures rather than the upregulation seen in cervical cancer tissues and was further confirmed by northern blotting (Fig. 5), indicating that the upregulation of miR-146a expression is cervical cancer-specific ... Upregulation of miR-146a in cervical cancer tissues, but not in HPV-induced pre-neoplastic lesions or in cancer-derived cell lines indicates that miR-146 expression is cervical cancer-specific ... Thus, we conclude that upregulation of miR-146a expression in cervical cancer is beneficial for cancer growth as introduction of miR-146a into cancer cells increased cell doubling time and promoted cell proliferation | Discourse Facet:  Discussion_Citation | Annotator:  I, |

Topic ID: D1410_TRAIN | Citance Number: 2 | Reference Article:  Wang,Tang.txt | Citing Article:  Chen,Umelo.txt | Citation Marker Offset:  34232-34234 | Citation Marker:  11 | Citation Offset:  34092-34310 | Citation Text:  Functional studies showed that, when introduced into cell lines, miR-146a was found to promote cell proliferation in cervical cancer cells [11], which suggests that miR-146a works as an oncogenic miRNA in these cancers | Reference Offset:  ['16238-16407', '16628-16708', '19423-19639'] | Reference Text:  A slow, but significantly enhanced cell proliferation of both HeLa (p<0.009, t-test) and HCT116 (P<0.019, t-test) cells was noticed in the presence of exogenous miR-146a ... This data suggests that miR-146a functions as a growth factor in cervical cancer ... Thus, we conclude that upregulation of miR-146a expression in cervical cancer is beneficial for cancer growth as introduction of miR-146a into cancer cells increased cell doubling time and promoted cell proliferation | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1410_TRAIN | Citance Number: 3 | Reference Article:  Wang,Tang.txt | Citing Article:  Chen,Umelo.txt | Citation Marker Offset:  3947-3949 | Citation Marker:  11 | Citation Offset:  3798-4162 | Citation Text:  The expression of miR-146a has been found to be up-regulated in papillary thyroid carcinoma [9], anaplastic thyroid cancer [10] and cervical cancer [11], which suggests miR-146a could work as an ìoncogenicî miRNA in these cancers. Nevertheless, lower expression of miR-146a was reported in prostate cancer [12], pancreatic cancer [13] and gastric cancer [14], [15] | Reference Offset:  ['10706-10985', '13685-13955', '16628-16708'] | Reference Text:  We were able to confirm that the cancer tissues had reduced expression of miR-126 and miR-424, and increased expression of miR-15b, miR-16, miR-146a, miR-155, and miR-223 (Fig. 3B and 3C), after individual miRNA level in each sample was quantified and normalized to U6 expression ... However, downregulation of miR-146a was noticed in the raft cultures rather than the upregulation seen in cervical cancer tissues and was further confirmed by northern blotting (Fig. 5), indicating that the upregulation of miR-146a expression is cervical cancer-specific ... This data suggests that miR-146a functions as a growth factor in cervical cancer | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1410_TRAIN | Citance Number: 4 | Reference Article:  Wang,Tang.txt | Citing Article:  Du,Hu.txt | Citation Marker Offset:  12441-12443 | Citation Marker:  37 | Citation Offset:  12092-12508 | Citation Text:  MiR-155 is upregulated in several human tumors, such as chronic lymphocytic leukemia [22], melanoma [23], head and neck squamous cell carcinoma [24], clear-cell kidney cancer [25], hepatocellular carcinoma [26], lymphoma [27], [28], [29], [30], [31], thyroid carcinoma [32], breast cancer [33], [34], [35], [36], colon cancer [33], cervical cancer [37], pancreatic cancer [38], [39], [40], and lung cancer [41], [42] | Reference Offset:  ['10706-10985', '21552-21716', '21822-22009'] | Reference Text:  We were able to confirm that the cancer tissues had reduced expression of miR-126 and miR-424, and increased expression of miR-15b, miR-16, miR-146a, miR-155, and miR-223 (Fig. 3B and 3C), after individual miRNA level in each sample was quantified and normalized to U6 expression ... Another study suggested that overexpression of miR-17-5p, miR-20a, miR-21, miR-92, miR-106a, and miR-155 could be considered an miRNA signature of solid cancer [59] ... The increased expression of miR-15b, miR-16, miR-146a, miR-155, and miR-223 that we observed in cervical cancer tissues has also been implicated in the development of other human cancers: | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1410_TRAIN | Citance Number: 5 | Reference Article:  Wang,Tang.txt | Citing Article:  Du,Hu.txt | Citation Marker Offset:  14570-14572 | Citation Marker:  37 | Citation Offset:  14355-14585 | Citation Text:  LMP1 and LMP2A were expressed in approximately 65% and 45.7% NPC patients, repectively [47], [48], and miR-155 was also found to be upregulated in many human tumors, which were not related to EBV [32], [33], [34], [37], [38], [42] | Reference Offset:  ['21552-21716', '21822-22684'] | Reference Text:  Another study suggested that overexpression of miR-17-5p, miR-20a, miR-21, miR-92, miR-106a, and miR-155 could be considered an miRNA signature of solid cancer [59] ... The increased expression of miR-15b, miR-16, miR-146a, miR-155, and miR-223 that we observed in cervical cancer tissues has also been implicated in the development of other human cancers: miR-15 and miR-16 regulate apoptosis by targeting BCL2 [60] and their mutation has been associated with chronic lymphocytic leukemia [61]; miR-16 is also involved in control of cytokine RNA instability [62]; miR-146b levels are highly increased in papillary thyroid carcinoma [40]; miR-155 has recently been implicated in the development of lymphoblastic leukemia/high-grade lymphoma [63] and lung cancer [24] and in the regulation of human fibroblast angiotensin II type 1 receptor expression [64]; miR-223, along with the transcription factors C/EBPa and NFI-A, participates in regulation of granulocytic differentiation by suppressing the transcription of NFI-A mRNA [65] | Discourse Facet:  Implication_Citation | Annotator:  I, |

Topic ID: D1410_TRAIN | Citance Number: 6 | Reference Article:  Wang,Tang.txt | Citing Article:  Liu,Wang.txt | Citation Marker Offset:  12564-12565 | Citation Marker:  8 | Citation Offset:  12471-12569 | Citation Text:  In addition, up-regulation of miR-24 has also been observed in gastric and cervical cancers [8, 9] | Reference Offset:  ['12247-12530'] | Reference Text:  Three miRNAs abundantly expressed only in monolayer cultures (miR-24, miR-29a, and miR-221) and 11 miRNAs abundantly expressed only in the stratified and differentiated raft cultures (miR-27a, miR-27b, miR-200b, miR-200c, miR-203, miR-638, let-7a, let-7b, let-7d, let-7e, and let-7g) | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1410_TRAIN | Citance Number: 7 | Reference Article:  Wang,Tang.txt | Citing Article:  Liu,Wang.txt | Citation Marker Offset:  2978-2979 | Citation Marker:  8 | Citation Offset:  2912-3004 | Citation Text:  Up-regulation of miR-24 has been observed in a number of cancers [8, 9], including OSCC [10] | Reference Offset:  ['12247-12530'] | Reference Text:  Three miRNAs abundantly expressed only in monolayer cultures (miR-24, miR-29a, and miR-221) and 11 miRNAs abundantly expressed only in the stratified and differentiated raft cultures (miR-27a, miR-27b, miR-200b, miR-200c, miR-203, miR-638, let-7a, let-7b, let-7d, let-7e, and let-7g) | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1410_TRAIN | Citance Number: 8 | Reference Article:  Wang,Tang.txt | Citing Article:  Patron.txt | Citation Marker Offset:  26079-26081 | Citation Marker:  52 | Citation Offset:  25896-26082 | Citation Text:  One study reports upregulation of this miR as revealed by qRT-PCR whereas a sequencing approach and microarray analysis point to a repression of miR-133b in tumor tissue [22], [51], [52] | Reference Offset:  ['12532-12812'] | Reference Text:  Using a clustering analysis, we further determined that 16 miRNAs were upregulated (Fig. 4A, raft in red) and 25 miRNAs were downregulated (Fig. 4A, raft in green) in the raft cultures when compared to the expression levels in the corresponding monolayer cultures (P<0.05, t-test) | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1410_TRAIN | Citance Number: 9 | Reference Article:  Wang,Tang.txt | Citing Article:  Perry.txt | Citation Marker Offset:  4529-4531 | Citation Marker:  29 | Citation Offset:  4292-4646 | Citation Text:  Changes in miR-146a and miR-146b expression and/or binding have also been implicated in the metastatic and proliferative response associated with the development of papillary thyroid carcinoma (PTC) [26], [27] and [28], cervical cancer [29], ovarian cancer [30], breast cancer [30], [31] and [32], pancreatic cancer [31] and prostate cancer [31] and [33] | Reference Offset:  ['10706-10985', '13685-13955', '16628-16708'] | Reference Text:  We were able to confirm that the cancer tissues had reduced expression of miR-126 and miR-424, and increased expression of miR-15b, miR-16, miR-146a, miR-155, and miR-223 (Fig. 3B and 3C), after individual miRNA level in each sample was quantified and normalized to U6 expression ... However, downregulation of miR-146a was noticed in the raft cultures rather than the upregulation seen in cervical cancer tissues and was further confirmed by northern blotting (Fig. 5), indicating that the upregulation of miR-146a expression is cervical cancer-specific ... This data suggests that miR-146a functions as a growth factor in cervical cancer | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1410_TRAIN | Citance Number: 10 | Reference Article:  Wang,Tang.txt | Citing Article:  Qin.txt | Citation Marker Offset:  13836-13838 | Citation Marker:  41 | Citation Offset:  13755-13901 | Citation Text:  In addition, miR-24 is one of the most abundant miRNAs in cervical cancer cells [41], and is reportedly up-regulated in solid stomach cancers [42] | Reference Offset:  ['12247-12530', '13385-13683', '16945-17275'] | Reference Text:  Three miRNAs abundantly expressed only in monolayer cultures (miR-24, miR-29a, and miR-221) and 11 miRNAs abundantly expressed only in the stratified and differentiated raft cultures (miR-27a, miR-27b, miR-200b, miR-200c, miR-203, miR-638, let-7a, let-7b, let-7d, let-7e, and let-7g) ... Although upregulation of miR-15a and miR-223 and downregulation of miR-218 and miR-424 were observed both in the rafts (pre-neoplastic lesions) and in cervical cancer tissues, the majority of the miRNA expression signatures showed no correlation between the two tissues (compare Fig. 4A to Fig. 3A) ... Although both cervical cancer tissues and HPV-infected raft tissues with pre-neoplastic lesions showed an upregulation of miR-15a and miR-223 and downregulation of miR-143, miR-145, miR-218, and miR-424, the majority of the miRNA expression showed no correlation between the two tissues and might delineate the disease progression | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1410_TRAIN | Citance Number: 11 | Reference Article:  Wang,Tang.txt | Citing Article:  Saito.txt | Citation Marker Offset:  2556-2557 | Citation Marker:  6 | Citation Offset:  2381-2558 | Citation Text:  Subsequent reports showed that miR-126 targeted the oncogene IRS-1 (insulin receptor substrate-1) in breast cancer cells [5] and miR-126 was downregulated in cervical cancer [6] | Reference Offset:  ['1338-1652', '10599-10985'] | Reference Text:  Using miRNA array analyses for age-matched normal cervix and cervical cancer tissues, in combination with northern blot verification, we identified significantly deregulated miRNAs in cervical cancer tissues, with miR-126, miR-143, and miR-145 downregulation and miR-15b, miR-16, miR-146a, and miR-155 upregulation ... selected miRNA probes were used to perform a northern blot analysis for two normal and two cancer samples. We were able to confirm that the cancer tissues had reduced expression of miR-126 and miR-424, and increased expression of miR-15b, miR-16, miR-146a, miR-155, and miR-223 (Fig. 3B and 3C), after individual miRNA level in each sample was quantified and normalized to U6 expression | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1410_TRAIN | Citance Number: 12 | Reference Article:  Wang,Tang.txt | Citing Article:  Schrauder.txt | Citation Marker Offset:  4611-4620 | Citation Marker:  [12]–[17] | Citation Offset:  4298-4620 | Citation Text:  Whether miRNAs act mainly as tumor suppressors (suppressor-miRs), promotors of tumorigenesis (onco-miRs) or both is still widely elusive, but the global decrease in miRNA expression in human cancers suggests that most miRNAs may act as direct suppressor-miRs or post-transcriptional repressors of known oncogenes [12]–[17] | Reference Offset:  ['3079-3338'] | Reference Text:  miRNAs are regulatory, non-coding RNAs about 21ñ23 nucleotides in length and are expressed at specific stages of tissue development or cell differentiation, and have large-scale effects on the expression of a variety of genes at the post-transcriptional level | Discourse Facet:  Implication_Citation | Annotator:  I, |

